Dataset,Side,Model,round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
Dataset_1,Left,PointNet,862,18,42,8,6,0.8108,0.75,0.84,0.72,0.8375
Dataset_1,Left,PointNet,863,11,54,5,4,0.8784,0.7333,0.9153,0.7097,0.9062
Dataset_1,Left,PointNet,864,16,47,5,6,0.8514,0.7273,0.9038,0.7442,0.8418
Dataset_1,Left,PointNet,865,25,39,5,5,0.8649,0.8333,0.8864,0.8333,0.8841
Dataset_1,Left,PointNet,866,18,47,3,6,0.8784,0.75,0.94,0.8,0.85
Dataset_1,Left,PointNet,867,22,36,8,8,0.7838,0.7333,0.8182,0.7333,0.8356
Dataset_1,Left,PointNet,868,12,47,7,8,0.7973,0.6,0.8704,0.6154,0.7898
Dataset_1,Left,PointNet,869,16,50,6,2,0.8919,0.8889,0.8929,0.8,0.8919
Dataset_1,Left,PointNet,870,22,42,4,6,0.8649,0.7857,0.913,0.8148,0.83
Dataset_1,Left,PointNet,871,22,39,5,8,0.8243,0.7333,0.8864,0.7719,0.7758
Dataset_1,Left,PointNet,872,15,43,6,10,0.7838,0.6,0.8776,0.6522,0.7878
Dataset_1,Left,PointNet,873,20,39,8,7,0.7973,0.7407,0.8298,0.7273,0.8361
Dataset_1,Left,PointNet,874,24,37,5,8,0.8243,0.75,0.881,0.7869,0.8832
Dataset_1,Left,PointNet,875,19,45,5,5,0.8649,0.7917,0.9,0.7917,0.85
Dataset_1,Left,PointNet,876,24,36,7,7,0.8108,0.7742,0.8372,0.7742,0.7847
Dataset_1,Left,PointNet,877,16,44,11,3,0.8108,0.8421,0.8,0.6957,0.8163
Dataset_1,Left,PointNet,878,15,47,5,7,0.8378,0.6818,0.9038,0.7143,0.8121
Dataset_1,Left,PointNet,879,24,40,7,3,0.8649,0.8889,0.8511,0.8276,0.9346
Dataset_1,Left,PointNet,880,11,47,8,8,0.7838,0.5789,0.8545,0.5789,0.7388
Dataset_1,Left,PointNet,881,22,39,8,5,0.8243,0.8148,0.8298,0.7719,0.9125
Dataset_1,Left,PointNet,882,22,41,5,6,0.8514,0.7857,0.8913,0.8,0.8913
Dataset_1,Left,PointNet,883,17,47,4,6,0.8649,0.7391,0.9216,0.7727,0.8832
Dataset_1,Left,PointNet,884,23,40,7,4,0.8514,0.8519,0.8511,0.807,0.8771
Dataset_1,Left,PointNet,885,21,44,5,4,0.8784,0.84,0.898,0.8235,0.8947
Dataset_1,Left,PointNet,886,19,43,4,8,0.8378,0.7037,0.9149,0.76,0.8243
Dataset_1,Left,PointNet,887,23,44,5,2,0.9054,0.92,0.898,0.8679,0.9559
Dataset_1,Left,PointNet,888,20,41,8,5,0.8243,0.8,0.8367,0.7547,0.902
Dataset_1,Left,PointNet,889,26,36,7,5,0.8378,0.8387,0.8372,0.8125,0.8792
Dataset_1,Left,PointNet,890,18,44,6,6,0.8378,0.75,0.88,0.75,0.8175
Dataset_1,Left,PointNet,891,18,48,4,4,0.8919,0.8182,0.9231,0.8182,0.8829
Dataset_1,Left,PointNet,892,22,36,8,8,0.7838,0.7333,0.8182,0.7333,0.7962
Dataset_1,Left,PointNet,893,21,46,3,4,0.9054,0.84,0.9388,0.8571,0.9012
Dataset_1,Left,PointNet,894,18,44,6,6,0.8378,0.75,0.88,0.75,0.8458
Dataset_1,Left,PointNet,895,20,40,8,6,0.8108,0.7692,0.8333,0.7407,0.8349
Dataset_1,Left,PointNet,896,20,44,6,4,0.8649,0.8333,0.88,0.8,0.9117
Dataset_1,Left,PointNet,897,21,44,6,3,0.8784,0.875,0.88,0.8235,0.9533
Dataset_1,Left,PointNet,898,23,39,2,10,0.8378,0.697,0.9512,0.7931,0.8234
Dataset_1,Left,PointNet,899,22,39,7,6,0.8243,0.7857,0.8478,0.7719,0.8657
Dataset_1,Left,PointNet,900,22,40,6,6,0.8378,0.7857,0.8696,0.7857,0.8509
Dataset_1,Left,PointNet,901,20,42,8,4,0.8378,0.8333,0.84,0.7692,0.9108
Dataset_1,Left,PointNet,902,22,38,7,7,0.8108,0.7586,0.8444,0.7586,0.8651
Dataset_1,Left,PointNet,903,21,43,6,4,0.8649,0.84,0.8776,0.8077,0.8473
Dataset_1,Left,PointNet,904,15,42,11,6,0.7703,0.7143,0.7925,0.6383,0.7601
Dataset_1,Left,PointNet,905,14,43,11,6,0.7703,0.7,0.7963,0.6222,0.7898
Dataset_1,Left,PointNet,906,17,43,4,10,0.8108,0.6296,0.9149,0.7083,0.7589
Dataset_1,Left,PointNet,907,19,44,5,6,0.8514,0.76,0.898,0.7755,0.8596
Dataset_1,Left,PointNet,908,24,41,5,4,0.8784,0.8571,0.8913,0.8421,0.8843
Dataset_1,Left,PointNet,909,21,43,5,5,0.8649,0.8077,0.8958,0.8077,0.8718
Dataset_1,Left,PointNet,910,16,43,9,6,0.7973,0.7273,0.8269,0.6809,0.7622
Dataset_1,Left,PointNet,911,22,43,5,4,0.8784,0.8462,0.8958,0.8302,0.9255
Dataset_1,Left,PointNet,912,23,41,4,6,0.8649,0.7931,0.9111,0.8214,0.8414
Dataset_1,Left,PointNet,913,14,50,5,5,0.8649,0.7368,0.9091,0.7368,0.8651
Dataset_1,Left,PointNet,914,15,46,6,7,0.8243,0.6818,0.8846,0.6977,0.8392
Dataset_1,Left,PointNet,915,21,33,11,9,0.7297,0.7,0.75,0.6774,0.7576
Dataset_1,Left,PointNet,916,17,46,6,5,0.8514,0.7727,0.8846,0.7556,0.8654
Dataset_1,Left,PointNet,917,23,41,5,5,0.8649,0.8214,0.8913,0.8214,0.9099
Dataset_1,Left,PointNet,918,21,39,2,12,0.8108,0.6364,0.9512,0.75,0.8248
Dataset_1,Left,PointNet,919,19,43,2,10,0.8378,0.6552,0.9556,0.76,0.8153
Dataset_1,Left,PointNet,920,25,31,8,10,0.7568,0.7143,0.7949,0.7353,0.8081
Dataset_1,Left,PointNet,921,25,39,3,7,0.8649,0.7812,0.9286,0.8333,0.8817
Dataset_1,Left,PointNet,922,16,45,9,4,0.8243,0.8,0.8333,0.7111,0.8769
Dataset_1,Left,PointNet,923,20,44,5,5,0.8649,0.8,0.898,0.8,0.8612
Dataset_1,Left,PointNet,924,26,38,4,6,0.8649,0.8125,0.9048,0.8387,0.8936
Dataset_1,Left,PointNet,925,18,51,2,3,0.9324,0.8571,0.9623,0.878,0.9111
Dataset_1,Left,PointNet,926,15,46,7,6,0.8243,0.7143,0.8679,0.6977,0.9021
Dataset_1,Left,PointNet,927,17,44,4,9,0.8243,0.6538,0.9167,0.7234,0.7869
Dataset_1,Left,PointNet,928,24,40,4,6,0.8649,0.8,0.9091,0.8276,0.8879
Dataset_1,Left,PointNet,929,23,45,4,2,0.9189,0.92,0.9184,0.8846,0.9396
Dataset_1,Left,PointNet,930,16,40,11,7,0.7568,0.6957,0.7843,0.64,0.7391
Dataset_1,Left,PointNet,931,17,43,7,7,0.8108,0.7083,0.86,0.7083,0.8708
Dataset_1,Left,PointNet,932,25,40,2,7,0.8784,0.7812,0.9524,0.8475,0.8735
Dataset_1,Left,PointNet,933,21,41,7,5,0.8378,0.8077,0.8542,0.7778,0.8454
Dataset_1,Left,PointNet,934,21,34,8,11,0.7432,0.6562,0.8095,0.6885,0.8051
Dataset_1,Left,PointNet,935,19,40,7,8,0.7973,0.7037,0.8511,0.717,0.7983
Dataset_1,Left,PointNet,936,20,39,8,7,0.7973,0.7407,0.8298,0.7273,0.8195
Dataset_1,Left,PointNet,937,16,41,8,9,0.7703,0.64,0.8367,0.6531,0.8147
Dataset_1,Left,PointNet,938,18,45,9,2,0.8514,0.9,0.8333,0.766,0.8685
Dataset_1,Left,PointNet,939,13,48,4,9,0.8243,0.5909,0.9231,0.6667,0.8112
Dataset_1,Left,PointNet,940,20,43,7,4,0.8514,0.8333,0.86,0.7843,0.8408
Dataset_1,Left,PointNet,941,21,40,8,5,0.8243,0.8077,0.8333,0.7636,0.8478
Dataset_1,Left,PointNet,942,27,41,3,3,0.9189,0.9,0.9318,0.9,0.8932
Dataset_1,Left,PointNet,943,13,45,8,8,0.7838,0.619,0.8491,0.619,0.8059
