Component,Top_Rank,Step_Index,SD_Value,Mean_Displacement_mm,Max_Displacement_mm,Mean_Inward_Atrophy_mm,Mean_Outward_Expansion_mm
PLS1,1,19,-1.1,0.020726032270936272,0.04687173395047945,0.01121494380868466,0.0003444409374996791
PLS1,1,20,-1.0,0.01884184751903297,0.0426106672277086,0.0101954034624406,0.00031312812499970837
PLS1,1,21,-0.9,0.016957662767129674,0.0383496005049377,0.00917586311619654,0.0002818153124997374
PLS1,1,22,-0.8,0.015073478015226375,0.03408853378216685,0.00815632276995248,0.00025050249999976647
PLS1,1,23,-0.7,0.01318929326332308,0.029827467059396005,0.0071367824237084185,0.00021918968749979573
PLS1,1,24,-0.6,0.011305108511419784,0.025566400336625158,0.0061172420774643615,0.00018787687499982503
PLS1,1,25,-0.5,0.009420923759516486,0.021305333613854293,0.0050977017312203,0.00015656406249985435
PLS1,1,26,-0.4,0.007536739007613189,0.017044266891083446,0.00407816138497624,0.0001252512499998835
PLS1,1,27,-0.3,0.005652554255709891,0.012783200168312542,0.0030586210387321803,9.39384374999123e-05
PLS1,1,28,-0.2,0.0037683695038065947,0.008522133445541693,0.0020390806924881206,6.262562499994177e-05
PLS1,1,29,-0.1,0.001884184751903297,0.004261066722770847,0.00101954034624406,3.131281249997075e-05
PLS1,1,30,0.0,0.0,0.0,0.0,0.0
PLS1,1,31,0.1,0.0018841847519032967,0.004261066722770847,3.131281249997077e-05,0.0010195403462440599
PLS1,1,32,0.2,0.0037683695038065947,0.008522133445541693,6.262562499994178e-05,0.0020390806924881206
PLS1,1,33,0.3,0.005652554255709891,0.012783200168312542,9.393843749991232e-05,0.0030586210387321803
PLS1,1,34,0.4,0.0075367390076131885,0.01704426689108346,0.0001252512499998835,0.00407816138497624
PLS1,1,35,0.5,0.009420923759516486,0.021305333613854307,0.00015656406249985435,0.0050977017312203
PLS1,1,36,0.6,0.011305108511419784,0.025566400336625154,0.000187876874999825,0.0061172420774643615
PLS1,1,37,0.7,0.013189293263323082,0.029827467059396002,0.00021918968749979573,0.0071367824237084185
PLS1,1,38,0.8,0.015073478015226375,0.03408853378216685,0.00025050249999976647,0.00815632276995248
PLS1,1,39,0.9,0.016957662767129674,0.0383496005049377,0.00028181531249973733,0.00917586311619654
PLS1,1,40,1.0,0.01884184751903297,0.042610667227708586,0.00031312812499970837,0.0101954034624406
PLS1,1,41,1.1,0.020726032270936272,0.04687173395047944,0.0003444409374996791,0.01121494380868466
PLS1,1,42,1.2,0.022610217022839565,0.051132800673250316,0.0003757537499996497,0.01223448415492872
PLS1,1,43,1.3,0.02449440177474286,0.05539386739602116,0.0004070665624996207,0.01325402450117278
PLS1,1,44,1.4,0.02637858652664616,0.05965493411879201,0.0004383793749995913,0.014273564847416839
PLS1,1,45,1.5,0.028262771278549457,0.06391600084156286,0.00046969218749956255,0.0152931051936609
PLS1,1,46,1.6,0.030146956030452754,0.0681770675643337,0.0005010049999995331,0.016312645539904965
PLS1,1,47,1.7,0.032031140782356055,0.07243813428710455,0.0005323178124995038,0.017332185886149022
PLS1,1,48,1.8,0.033915325534259355,0.07669920100987543,0.0005636306249994748,0.018351726232393083
PLS1,1,49,1.9,0.03579951028616265,0.08096026773264632,0.0005949434374994455,0.019371266578637143
PLS1,1,50,2.0,0.03768369503806594,0.08522133445541716,0.0006262562499994164,0.0203908069248812
PLS1,1,51,2.1,0.03956787978996924,0.08948240117818802,0.0006575690624993875,0.02141034727112526
PLS1,1,52,2.2,0.041452064541872544,0.09374346790095886,0.0006888818749993583,0.02242988761736932
PLS1,1,53,2.3,0.04333624929377583,0.09800453462372971,0.000720194687499329,0.023449427963613375
PLS1,1,54,2.4,0.04522043404567913,0.1022656013465006,0.0007515074999992997,0.02446896830985744
PLS1,1,55,2.5,0.04710461879758243,0.10652666806927145,0.0007828203124992706,0.025488508656101503
PLS1,1,56,2.6,0.04898880354948573,0.11078773479204232,0.0008141331249992415,0.026508049002345564
PLS1,1,57,2.7,0.05087298830138902,0.11504880151481317,0.000845445937499212,0.02752758934858962
PLS1,1,58,2.8,0.05275717305329232,0.11930986823758402,0.000876758749999183,0.028547129694833674
PLS1,1,59,2.9,0.05464135780519563,0.12357093496035486,0.0009080715624991539,0.02956667004107774
PLS1,1,60,3.0,0.056525542557098914,0.12783200168312572,0.0009393843749991246,0.0305862103873218
