Component,Top_Rank,Step_Index,SD_Value,Mean_Displacement_mm,Max_Displacement_mm,Mean_Inward_Atrophy_mm,Mean_Outward_Expansion_mm
PLS1,1,24,-0.6,0.01265639992830993,0.02526926005914602,0.002807823375404987,0.0032200104019899788
PLS1,1,25,-0.5,0.010546999940258274,0.02105771671595504,0.002339852812837489,0.002683342001658316
PLS1,1,26,-0.4,0.00843759995220662,0.016846173372764034,0.0018718822502699914,0.0021466736013266534
PLS1,1,27,-0.3,0.006328199964154965,0.01263463002957301,0.0014039116877024931,0.0016100052009949898
PLS1,1,28,-0.2,0.00421879997610331,0.00842308668638203,0.0009359411251349961,0.001073336800663327
PLS1,1,29,-0.1,0.002109399988051654,0.004211543343190979,0.0004679705625674976,0.0005366684003316637
PLS1,1,30,0.0,0.0,0.0,0.0,0.0
PLS1,1,31,0.1,0.002109399988051654,0.004211543343190979,0.0005366684003316638,0.0004679705625674976
PLS1,1,32,0.2,0.00421879997610331,0.00842308668638203,0.001073336800663327,0.0009359411251349961
PLS1,1,33,0.3,0.006328199964154965,0.01263463002957301,0.0016100052009949898,0.0014039116877024931
PLS1,1,34,0.4,0.00843759995220662,0.016846173372764034,0.0021466736013266534,0.0018718822502699914
PLS1,1,35,0.5,0.010546999940258272,0.02105771671595504,0.002683342001658316,0.002339852812837489
PLS1,1,36,0.6,0.01265639992830993,0.02526926005914602,0.003220010401989979,0.0028078233754049876
PLS1,1,37,0.7,0.014765799916361582,0.029480803402337045,0.003756678802321642,0.003275793937972485
PLS1,1,38,0.8,0.01687519990441324,0.033692346745528054,0.004293347202653306,0.0037437645005399833
PLS1,1,39,0.9,0.018984599892464895,0.037903890088719056,0.004830015602984969,0.0042117350631074805
PLS1,1,40,1.0,0.021093999880516547,0.04211543343191005,0.005366684003316633,0.004679705625674978
PLS1,1,41,1.1,0.023203399868568203,0.046326976775101086,0.005903352403648298,0.0051476761882424775
PLS1,1,42,1.2,0.02531279985661986,0.05053852011829208,0.0064400208039799576,0.005615646750809974
PLS1,1,43,1.3,0.02742219984467151,0.05475006346148309,0.006976689204311623,0.006083617313377472
PLS1,1,44,1.4,0.029531599832723167,0.05896160680467409,0.007513357604643285,0.0065515878759449695
PLS1,1,45,1.5,0.031640999820774826,0.06317315014786509,0.00805002600497495,0.007019558438512469
PLS1,1,46,1.6,0.03375039980882648,0.06738469349105612,0.008586694405306612,0.007487529001079966
PLS1,1,47,1.7,0.03585979979687813,0.07159623683424712,0.009123362805638276,0.007955499563647463
PLS1,1,48,1.8,0.03796919978492978,0.07580778017743811,0.009660031205969939,0.008423470126214963
PLS1,1,49,1.9,0.040078599772981435,0.08001932352062914,0.010196699606301603,0.00889144068878246
PLS1,1,50,2.0,0.042187999761033095,0.08423086686382013,0.010733368006633265,0.009359411251349956
PLS1,1,51,2.1,0.04429739974908475,0.08844241020701114,0.01127003640696493,0.009827381813917456
PLS1,1,52,2.2,0.04640679973713641,0.09265395355020217,0.011806704807296592,0.010295352376484953
PLS1,1,53,2.3,0.04851619972518806,0.09686549689339315,0.012343373207628253,0.010763322939052453
PLS1,1,54,2.4,0.05062559971323972,0.10107704023658413,0.012880041607959919,0.011231293501619949
PLS1,1,55,2.5,0.05273499970129136,0.10528858357977516,0.013416710008291581,0.011699264064187446
PLS1,1,56,2.6,0.05484439968934302,0.10950012692296617,0.013953378408623244,0.012167234626754947
PLS1,1,57,2.7,0.05695379967739468,0.11371167026615718,0.01449004680895491,0.012635205189322441
PLS1,1,58,2.8,0.059063199665446334,0.11792321360934818,0.015026715209286568,0.01310317575188994
PLS1,1,59,2.9,0.061172599653497986,0.12213475695253916,0.015563383609618233,0.013571146314457438
PLS1,1,60,3.0,0.06328199964154965,0.1263463002957302,0.0161000520099499,0.014039116877024938
PLS3,2,0,-3.0,0.031311529716350026,0.07650428261844755,0.007455058884452606,0.008327888923851402
