round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
261,11,40,13,10,0.6892,0.5238,0.7547,0.4889,0.7296
262,17,42,13,2,0.7973,0.8947,0.7636,0.6939,0.8708
263,23,28,12,11,0.6892,0.6765,0.7,0.6667,0.7713
264,25,31,12,6,0.7568,0.8065,0.7209,0.7353,0.817
265,20,28,12,14,0.6486,0.5882,0.7,0.6061,0.75
266,21,30,12,11,0.6892,0.6562,0.7143,0.6462,0.6927
267,16,36,12,10,0.7027,0.6154,0.75,0.5926,0.778
268,18,36,16,4,0.7297,0.8182,0.6923,0.6429,0.8182
269,15,33,16,10,0.6486,0.6,0.6735,0.5357,0.7184
270,12,38,14,10,0.6757,0.5455,0.7308,0.5,0.7378
271,8,47,10,9,0.7432,0.4706,0.8246,0.4571,0.8256
272,24,30,11,9,0.7297,0.7273,0.7317,0.7059,0.833
273,10,43,8,13,0.7162,0.4348,0.8431,0.4878,0.8269
274,15,37,12,10,0.7027,0.6,0.7551,0.5769,0.7339
275,25,24,16,9,0.6622,0.7353,0.6,0.6667,0.8051
276,17,32,19,6,0.6622,0.7391,0.6275,0.5763,0.8193
277,12,41,12,9,0.7162,0.5714,0.7736,0.5333,0.7709
278,17,36,11,10,0.7162,0.6296,0.766,0.6182,0.7683
279,14,38,18,4,0.7027,0.7778,0.6786,0.56,0.8383
280,10,44,12,8,0.7297,0.5556,0.7857,0.5,0.7401
281,20,33,12,9,0.7162,0.6897,0.7333,0.6557,0.7808
282,14,39,9,12,0.7162,0.5385,0.8125,0.5714,0.7292
283,18,34,15,7,0.7027,0.72,0.6939,0.6207,0.8318
284,12,42,13,7,0.7297,0.6316,0.7636,0.5455,0.7263
285,22,30,14,8,0.7027,0.7333,0.6818,0.6667,0.7917
286,17,30,17,10,0.6351,0.6296,0.6383,0.5574,0.7794
287,15,37,13,9,0.7027,0.625,0.74,0.5769,0.7533
288,20,27,16,11,0.6351,0.6452,0.6279,0.597,0.6962
289,20,30,10,14,0.6757,0.5882,0.75,0.625,0.7743
290,13,41,11,9,0.7297,0.5909,0.7885,0.5652,0.8295
291,15,40,8,11,0.7432,0.5769,0.8333,0.6122,0.8125
292,9,38,13,14,0.6351,0.3913,0.7451,0.4,0.7408
293,11,36,20,7,0.6351,0.6111,0.6429,0.449,0.7877
294,14,40,12,8,0.7297,0.6364,0.7692,0.5833,0.7657
295,14,30,12,18,0.5946,0.4375,0.7143,0.4828,0.7135
296,18,33,15,8,0.6892,0.6923,0.6875,0.6102,0.7091
297,12,35,14,13,0.6351,0.48,0.7143,0.4706,0.7135
298,20,32,9,13,0.7027,0.6061,0.7805,0.6452,0.7886
299,17,26,16,15,0.5811,0.5312,0.619,0.5231,0.6004
300,10,40,15,9,0.6757,0.5263,0.7273,0.4545,0.7751
301,17,35,13,9,0.7027,0.6538,0.7292,0.6071,0.7821
302,13,29,18,14,0.5676,0.4815,0.617,0.4483,0.6651
303,17,35,15,7,0.7027,0.7083,0.7,0.6071,0.7858
304,12,32,18,12,0.5946,0.5,0.64,0.4444,0.7508
305,11,40,17,6,0.6892,0.6471,0.7018,0.4889,0.7957
306,14,40,16,4,0.7297,0.7778,0.7143,0.5833,0.8661
307,20,30,15,9,0.6757,0.6897,0.6667,0.625,0.8061
308,17,30,13,14,0.6351,0.5484,0.6977,0.5574,0.7584
309,27,33,11,3,0.8108,0.9,0.75,0.7941,0.8833
310,16,37,12,9,0.7162,0.64,0.7551,0.6038,0.7657
311,14,43,10,7,0.7703,0.6667,0.8113,0.6222,0.8509
312,18,34,13,9,0.7027,0.6667,0.7234,0.6207,0.7368
313,22,35,11,6,0.7703,0.7857,0.7609,0.7213,0.8579
314,18,31,18,7,0.6622,0.72,0.6327,0.5902,0.7943
315,14,36,12,12,0.6757,0.5385,0.75,0.5385,0.6779
316,15,35,12,12,0.6757,0.5556,0.7447,0.5556,0.7273
317,12,36,17,9,0.6486,0.5714,0.6792,0.48,0.7772
318,20,27,13,14,0.6351,0.5882,0.675,0.597,0.7449
319,17,33,14,10,0.6757,0.6296,0.7021,0.5862,0.7683
320,16,36,13,9,0.7027,0.64,0.7347,0.5926,0.7339
321,17,34,15,8,0.6892,0.68,0.6939,0.5965,0.7747
322,13,40,13,8,0.7162,0.619,0.7547,0.5532,0.8059
323,20,36,15,3,0.7568,0.8696,0.7059,0.6897,0.8721
324,27,28,11,8,0.7432,0.7714,0.7179,0.7397,0.8081
325,14,40,15,5,0.7297,0.7368,0.7273,0.5833,0.7847
326,13,37,17,7,0.6757,0.65,0.6852,0.52,0.7111
327,10,40,15,9,0.6757,0.5263,0.7273,0.4545,0.756
328,14,32,17,11,0.6216,0.56,0.6531,0.5,0.7094
329,17,36,10,11,0.7162,0.6071,0.7826,0.6182,0.7345
330,14,34,14,12,0.6486,0.5385,0.7083,0.5185,0.7492
331,15,31,17,11,0.6216,0.5769,0.6458,0.5172,0.7452
332,15,37,15,7,0.7027,0.6818,0.7115,0.5769,0.7762
333,10,40,12,12,0.6757,0.4545,0.7692,0.4545,0.7124
334,22,25,16,11,0.6351,0.6667,0.6098,0.6197,0.7694
335,12,36,16,10,0.6486,0.5455,0.6923,0.48,0.7124
336,8,38,17,11,0.6216,0.4211,0.6909,0.3636,0.6077
337,19,33,14,8,0.7027,0.7037,0.7021,0.6333,0.7258
338,20,27,11,16,0.6351,0.5556,0.7105,0.597,0.7354
339,13,39,14,8,0.7027,0.619,0.7358,0.5417,0.7727
340,10,44,13,7,0.7297,0.5882,0.7719,0.5,0.8256
341,19,27,18,10,0.6216,0.6552,0.6,0.5758,0.7678
342,17,31,6,20,0.6486,0.4595,0.8378,0.5667,0.7202
343,15,30,16,13,0.6081,0.5357,0.6522,0.5085,0.6988
344,15,25,18,16,0.5405,0.4839,0.5814,0.4687,0.6609
345,17,31,14,12,0.6486,0.5862,0.6889,0.5667,0.767
346,12,42,12,8,0.7297,0.6,0.7778,0.5455,0.8185
347,17,33,15,9,0.6757,0.6538,0.6875,0.5862,0.7708
348,16,32,17,9,0.6486,0.64,0.6531,0.5517,0.7184
349,16,37,11,10,0.7162,0.6154,0.7708,0.6038,0.75
350,26,31,11,6,0.7703,0.8125,0.7381,0.7536,0.849
351,18,35,10,11,0.7162,0.6207,0.7778,0.6316,0.8483
352,13,38,15,8,0.6892,0.619,0.717,0.5306,0.7062
353,15,35,14,10,0.6757,0.6,0.7143,0.5556,0.7216
354,10,43,8,13,0.7162,0.4348,0.8431,0.4878,0.7843
355,12,41,11,10,0.7162,0.5455,0.7885,0.5333,0.7666
356,9,34,20,11,0.5811,0.45,0.6296,0.3673,0.6796
357,11,36,14,13,0.6351,0.4583,0.72,0.449,0.6867
358,15,40,10,9,0.7432,0.625,0.8,0.6122,0.8075
359,10,33,22,9,0.5811,0.5263,0.6,0.3922,0.5837
360,17,33,16,8,0.6757,0.68,0.6735,0.5862,0.8286
361,15,32,17,10,0.6351,0.6,0.6531,0.5263,0.7624
362,10,44,14,6,0.7297,0.625,0.7586,0.5,0.8211
363,20,30,16,8,0.6757,0.7143,0.6522,0.625,0.7531
364,19,34,10,11,0.7162,0.6333,0.7727,0.6441,0.7856
365,17,36,11,10,0.7162,0.6296,0.766,0.6182,0.7809
366,21,26,16,11,0.6351,0.6562,0.619,0.6087,0.724
367,12,34,16,12,0.6216,0.5,0.68,0.4615,0.6633
368,15,35,13,11,0.6757,0.5769,0.7292,0.5556,0.7324
369,14,36,14,10,0.6757,0.5833,0.72,0.5385,0.7625
370,12,32,19,11,0.5946,0.5217,0.6275,0.4444,0.6436
