Dataset,Side,Model,Class,Accuracy,Precision,Recall,F1_Score,Mean_SD,Support,ROC_AUC
All_Augment_tain,Right,ResNet (AutoEncoder),Class 1: Epilepsy (TLE),85.29%,75.00%,66.67%,70.59%,85.29% ± 4.14%,18,0.8778
All_Augment_tain,Right,ResNet (AutoEncoder),Overall / Macro Avg,85.29%,81.73%,79.34%,80.39%,85.29% ± 4.14%,68,0.8778
All_Augment_tain,Right,MobileNet,Class 0: Healthy Control,82.35%,85.19%,92.00%,88.46%,82.43% ± 4.68%,50,0.8800
All_Augment_tain,Right,MobileNet,Class 1: Epilepsy (TLE),82.35%,71.43%,55.56%,62.50%,82.43% ± 4.68%,18,0.8800
All_Augment_tain,Right,MobileNet,Overall / Macro Avg,82.35%,78.31%,73.78%,75.48%,82.43% ± 4.68%,68,0.8800
All_Augment_tain,Right,SqueezeNet,Class 0: Healthy Control,77.94%,84.31%,86.00%,85.15%,78.14% ± 5.14%,50,0.8478
All_Augment_tain,Right,SqueezeNet,Class 1: Epilepsy (TLE),77.94%,58.82%,55.56%,57.14%,78.14% ± 5.14%,18,0.8478
All_Augment_tain,Right,SqueezeNet,Overall / Macro Avg,77.94%,71.56%,70.78%,71.15%,78.14% ± 5.14%,68,0.8478
All_Augment_tain,Right,PointNet,Class 0: Healthy Control,85.29%,88.46%,92.00%,90.20%,85.28% ± 4.24%,50,0.8267
All_Augment_tain,Right,PointNet,Class 1: Epilepsy (TLE),85.29%,75.00%,66.67%,70.59%,85.28% ± 4.24%,18,0.8267
All_Augment_tain,Right,PointNet,Overall / Macro Avg,85.29%,81.73%,79.34%,80.39%,85.28% ± 4.24%,68,0.8267
Ds004469,Left,SVM,Class 0: Healthy Control,63.64%,70.00%,87.50%,77.78%,63.90% ± 14.50%,8,0.5000
Ds004469,Left,SVM,Class 1: Epilepsy (TLE),63.64%,0.00%,0.00%,0.00%,63.90% ± 14.50%,3,0.5000
Ds004469,Left,SVM,Overall / Macro Avg,63.64%,35.00%,43.75%,38.89%,63.90% ± 14.50%,11,0.5000
Ds004469,Left,MLP,Class 0: Healthy Control,72.73%,72.73%,100.00%,84.21%,72.75% ± 13.40%,8,0.5000
Ds004469,Left,MLP,Class 1: Epilepsy (TLE),72.73%,0.00%,0.00%,0.00%,72.75% ± 13.40%,3,0.5000
Ds004469,Left,MLP,Overall / Macro Avg,72.73%,36.37%,50.00%,42.11%,72.75% ± 13.40%,11,0.5000
