round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
583,16,54,1,4,0.9333,0.8,0.9818,0.8649,0.9264
584,12,53,4,6,0.8667,0.6667,0.9298,0.7059,0.9025
585,14,56,4,1,0.9333,0.9333,0.9333,0.8485,0.9644
586,18,55,1,1,0.9733,0.9474,0.9821,0.9474,0.9925
587,17,50,6,2,0.8933,0.8947,0.8929,0.8095,0.9239
588,17,50,6,2,0.8933,0.8947,0.8929,0.8095,0.9633
589,23,42,5,5,0.8667,0.8214,0.8936,0.8214,0.9278
590,17,49,7,2,0.88,0.8947,0.875,0.7907,0.9013
591,15,54,1,5,0.92,0.75,0.9818,0.8333,0.9236
592,18,50,4,3,0.9067,0.8571,0.9259,0.8372,0.9189
593,16,54,4,1,0.9333,0.9412,0.931,0.8649,0.9503
594,14,50,4,7,0.8533,0.6667,0.9259,0.7179,0.8783
595,15,49,3,8,0.8533,0.6522,0.9423,0.7317,0.8679
596,20,49,2,4,0.92,0.8333,0.9608,0.8696,0.9518
597,10,57,2,6,0.8933,0.625,0.9661,0.7143,0.8867
598,15,51,5,4,0.88,0.7895,0.9107,0.7692,0.8684
599,9,51,11,4,0.8,0.6923,0.8226,0.5455,0.8511
600,15,50,2,8,0.8667,0.6522,0.9615,0.75,0.8988
601,16,52,2,5,0.9067,0.7619,0.963,0.8205,0.9418
602,18,50,4,3,0.9067,0.8571,0.9259,0.8372,0.8924
603,22,45,4,4,0.8933,0.8462,0.9184,0.8462,0.9144
604,20,44,8,3,0.8533,0.8696,0.8462,0.7843,0.9189
605,15,46,9,5,0.8133,0.75,0.8364,0.6818,0.87
606,15,58,2,0,0.9733,1.0,0.9667,0.9375,0.9911
607,11,51,9,4,0.8267,0.7333,0.85,0.6286,0.8522
608,16,50,8,1,0.88,0.9412,0.8621,0.7805,0.9442
609,23,48,2,2,0.9467,0.92,0.96,0.92,0.9624
610,14,44,9,8,0.7733,0.6364,0.8302,0.6222,0.8379
611,15,56,2,2,0.9467,0.8824,0.9655,0.8824,0.9412
612,13,53,5,4,0.88,0.7647,0.9138,0.7429,0.8945
613,17,51,4,3,0.9067,0.85,0.9273,0.8293,0.9373
614,17,51,2,5,0.9067,0.7727,0.9623,0.8293,0.9331
615,18,47,5,5,0.8667,0.7826,0.9038,0.7826,0.8938
616,12,53,8,2,0.8667,0.8571,0.8689,0.7059,0.9098
617,13,54,5,3,0.8933,0.8125,0.9153,0.7647,0.8941
618,22,46,4,3,0.9067,0.88,0.92,0.8627,0.932
619,14,55,3,3,0.92,0.8235,0.9483,0.8235,0.9787
620,23,43,7,2,0.88,0.92,0.86,0.8364,0.9248
621,11,50,6,8,0.8133,0.5789,0.8929,0.6111,0.7406
622,18,52,3,2,0.9333,0.9,0.9455,0.878,0.92
623,19,44,7,5,0.84,0.7917,0.8627,0.76,0.8791
624,18,48,4,5,0.88,0.7826,0.9231,0.8,0.8972
625,20,44,6,5,0.8533,0.8,0.88,0.7843,0.868
626,13,51,10,1,0.8533,0.9286,0.8361,0.7027,0.9251
627,11,60,3,1,0.9467,0.9167,0.9524,0.8462,0.9524
628,9,53,5,8,0.8267,0.5294,0.9138,0.5806,0.8621
629,15,50,8,2,0.8667,0.8824,0.8621,0.75,0.8742
630,22,46,4,3,0.9067,0.88,0.92,0.8627,0.956
631,15,51,4,5,0.88,0.75,0.9273,0.7692,0.8873
632,13,53,4,5,0.88,0.7222,0.9298,0.7429,0.8947
633,16,48,4,7,0.8533,0.6957,0.9231,0.7442,0.908
634,16,51,5,3,0.8933,0.8421,0.9107,0.8,0.8938
635,20,40,9,6,0.8,0.7692,0.8163,0.7273,0.8148
636,9,51,8,7,0.8,0.5625,0.8644,0.5455,0.6568
637,18,48,4,5,0.88,0.7826,0.9231,0.8,0.8687
638,11,53,7,4,0.8533,0.7333,0.8833,0.6667,0.8567
639,15,54,6,0,0.92,1.0,0.9,0.8333,0.9633
640,21,48,3,3,0.92,0.875,0.9412,0.875,0.9436
641,15,55,4,1,0.9333,0.9375,0.9322,0.8571,0.9523
642,12,53,6,4,0.8667,0.75,0.8983,0.7059,0.9216
643,15,49,6,5,0.8533,0.75,0.8909,0.7317,0.8582
