round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
407,23,32,1,0,0.9821,1.0,0.9697,0.9787,0.9921
408,19,34,1,2,0.9464,0.9048,0.9714,0.9268,0.9293
409,17,37,1,1,0.9643,0.9444,0.9737,0.9444,0.9547
410,17,36,2,1,0.9464,0.9444,0.9474,0.9189,0.9488
411,19,33,3,1,0.9286,0.95,0.9167,0.9048,0.9583
412,18,36,1,1,0.9643,0.9474,0.973,0.9474,0.9602
413,19,33,4,0,0.9286,1.0,0.8919,0.9048,0.9829
414,18,36,0,2,0.9643,0.9,1.0,0.9474,0.9361
415,18,37,0,1,0.9821,0.9474,1.0,0.973,0.9587
416,21,34,0,1,0.9821,0.9545,1.0,0.9767,0.9693
417,16,36,1,3,0.9286,0.8421,0.973,0.8889,0.8976
418,21,32,2,1,0.9464,0.9545,0.9412,0.9333,0.9639
419,22,30,3,1,0.9286,0.9565,0.9091,0.9167,0.9552
420,26,25,3,2,0.9107,0.9286,0.8929,0.9123,0.9375
421,19,32,3,2,0.9107,0.9048,0.9143,0.8837,0.9061
422,22,31,1,2,0.9464,0.9167,0.9688,0.9362,0.9492
423,21,34,1,0,0.9821,1.0,0.9714,0.9767,0.9932
424,20,34,1,1,0.9643,0.9524,0.9714,0.9524,0.9619
425,17,35,3,1,0.9286,0.9444,0.9211,0.8947,0.9415
426,16,37,1,2,0.9464,0.8889,0.9737,0.9143,0.9167
427,7,49,0,0,1.0,1.0,1.0,1.0,1.0
428,16,35,3,2,0.9107,0.8889,0.9211,0.8649,0.9094
429,22,33,1,0,0.9821,1.0,0.9706,0.9778,0.996
430,16,36,2,2,0.9286,0.8889,0.9474,0.8889,0.9094
431,20,35,1,0,0.9821,1.0,0.9722,0.9756,0.9931
432,17,38,1,0,0.9821,1.0,0.9744,0.9714,0.9925
433,16,34,2,4,0.8929,0.8,0.9444,0.8421,0.8611
434,12,40,2,2,0.9286,0.8571,0.9524,0.8571,0.8912
435,22,31,1,2,0.9464,0.9167,0.9688,0.9362,0.9375
436,23,28,4,1,0.9107,0.9583,0.875,0.902,0.9323
437,20,34,2,0,0.9643,1.0,0.9444,0.9524,0.9917
438,13,40,2,1,0.9464,0.9286,0.9524,0.8966,0.9388
439,17,35,3,1,0.9286,0.9444,0.9211,0.8947,0.9488
440,17,35,1,3,0.9286,0.85,0.9722,0.8947,0.8875
441,20,33,2,1,0.9464,0.9524,0.9429,0.9302,0.951
442,14,40,2,0,0.9643,1.0,0.9524,0.9333,1.0
443,20,35,0,1,0.9821,0.9524,1.0,0.9756,0.9605
444,16,38,2,0,0.9643,1.0,0.95,0.9412,0.9813
445,20,33,1,2,0.9464,0.9091,0.9706,0.9302,0.9358
446,14,39,2,1,0.9464,0.9333,0.9512,0.9032,0.9431
447,20,34,1,1,0.9643,0.9524,0.9714,0.9524,0.9578
448,20,33,3,0,0.9464,1.0,0.9167,0.9302,0.9972
449,21,33,0,2,0.9643,0.913,1.0,0.9545,0.9341
450,19,33,1,3,0.9286,0.8636,0.9706,0.9048,0.9184
451,18,37,0,1,0.9821,0.9474,1.0,0.973,0.9659
452,23,30,2,1,0.9464,0.9583,0.9375,0.9388,0.9714
453,20,33,1,2,0.9464,0.9091,0.9706,0.9302,0.9412
454,21,32,2,1,0.9464,0.9545,0.9412,0.9333,0.9706
455,16,35,4,1,0.9107,0.9412,0.8974,0.8649,0.9517
456,15,35,4,2,0.8929,0.8824,0.8974,0.8333,0.8974
457,23,30,1,2,0.9464,0.92,0.9677,0.9388,0.9329
458,17,35,3,1,0.9286,0.9444,0.9211,0.8947,0.9547
459,16,40,0,0,1.0,1.0,1.0,1.0,1.0
460,18,37,1,0,0.9821,1.0,0.9737,0.973,0.9956
461,24,28,1,3,0.9286,0.8889,0.9655,0.9231,0.9221
462,20,33,3,0,0.9464,1.0,0.9167,0.9302,0.9806
463,17,36,1,2,0.9464,0.8947,0.973,0.9189,0.909
464,16,38,1,1,0.9643,0.9412,0.9744,0.9412,0.9593
465,23,29,3,1,0.9286,0.9583,0.9062,0.92,0.9297
466,17,36,2,1,0.9464,0.9444,0.9474,0.9189,0.9474
467,24,30,2,0,0.9643,1.0,0.9375,0.96,0.987
468,21,28,5,2,0.875,0.913,0.8485,0.8571,0.9038
469,11,41,4,0,0.9286,1.0,0.9111,0.8462,0.9879
470,20,31,4,1,0.9107,0.9524,0.8857,0.8889,0.9361
471,20,33,3,0,0.9464,1.0,0.9167,0.9302,0.9708
472,17,35,3,1,0.9286,0.9444,0.9211,0.8947,0.9532
473,23,31,2,0,0.9643,1.0,0.9394,0.9583,0.9868
474,22,32,2,0,0.9643,1.0,0.9412,0.9565,0.988
475,23,33,0,0,1.0,1.0,1.0,1.0,1.0
476,18,34,3,1,0.9286,0.9474,0.9189,0.9,0.9488
477,15,39,2,0,0.9643,1.0,0.9512,0.9375,0.9902
478,16,39,1,0,0.9821,1.0,0.975,0.9697,0.9922
479,19,32,5,0,0.9107,1.0,0.8649,0.8837,0.9459
480,17,34,3,2,0.9107,0.8947,0.9189,0.8718,0.909
481,23,25,5,3,0.8571,0.8846,0.8333,0.8519,0.9064
482,21,33,2,0,0.9643,1.0,0.9429,0.9545,0.9878
483,18,33,2,3,0.9107,0.8571,0.9429,0.878,0.8912
484,24,30,1,1,0.9643,0.96,0.9677,0.96,0.9716
485,20,35,0,1,0.9821,0.9524,1.0,0.9756,0.9633
486,12,37,5,2,0.875,0.8571,0.881,0.7742,0.9116
487,18,33,4,1,0.9107,0.9474,0.8919,0.878,0.9417
488,15,40,1,0,0.9821,1.0,0.9756,0.9677,0.9951
489,23,32,1,0,0.9821,1.0,0.9697,0.9787,0.9947
490,19,35,2,0,0.9643,1.0,0.9459,0.95,0.9886
491,17,36,3,0,0.9464,1.0,0.9231,0.9189,0.997
492,13,41,0,2,0.9643,0.8667,1.0,0.9286,0.8992
493,13,41,2,0,0.9643,1.0,0.9535,0.9286,0.9893
494,24,31,1,0,0.9821,1.0,0.9688,0.9796,0.9974
495,17,35,3,1,0.9286,0.9444,0.9211,0.8947,0.9459
496,17,35,3,1,0.9286,0.9444,0.9211,0.8947,0.943
497,13,41,2,0,0.9643,1.0,0.9535,0.9286,0.9928
498,19,35,2,0,0.9643,1.0,0.9459,0.95,0.9943
499,25,27,3,1,0.9286,0.9615,0.9,0.9259,0.9551
500,24,28,4,0,0.9286,1.0,0.875,0.9231,1.0
501,23,30,2,1,0.9464,0.9583,0.9375,0.9388,0.957
502,20,33,2,1,0.9464,0.9524,0.9429,0.9302,0.9456
