round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
564,18,40,8,8,0.7838,0.6923,0.8333,0.6923,0.8277
565,23,35,8,8,0.7838,0.7419,0.814,0.7419,0.8432
566,24,39,7,4,0.8514,0.8571,0.8478,0.8136,0.9169
567,19,36,10,9,0.7432,0.6786,0.7826,0.6667,0.7671
568,17,38,13,6,0.7432,0.7391,0.7451,0.6415,0.8303
569,17,37,8,12,0.7297,0.5862,0.8222,0.6296,0.7962
570,21,42,8,3,0.8514,0.875,0.84,0.7925,0.9217
571,18,37,10,9,0.7432,0.6667,0.7872,0.6545,0.814
572,15,45,10,4,0.8108,0.7895,0.8182,0.6818,0.89
573,24,31,5,14,0.7432,0.6316,0.8611,0.7164,0.758
574,14,45,11,4,0.7973,0.7778,0.8036,0.6512,0.872
575,18,44,6,6,0.8378,0.75,0.88,0.75,0.8917
576,20,34,14,6,0.7297,0.7692,0.7083,0.6667,0.7925
577,16,35,10,13,0.6892,0.5517,0.7778,0.5818,0.7218
578,21,34,12,7,0.7432,0.75,0.7391,0.6885,0.8665
579,18,40,8,8,0.7838,0.6923,0.8333,0.6923,0.8518
580,16,39,9,10,0.7432,0.6154,0.8125,0.6275,0.855
581,25,26,13,10,0.6892,0.7143,0.6667,0.6849,0.7897
582,18,41,11,4,0.7973,0.8182,0.7885,0.7059,0.8453
583,16,44,7,7,0.8108,0.6957,0.8627,0.6957,0.8346
584,19,37,9,9,0.7568,0.6786,0.8043,0.6786,0.8455
585,23,34,7,10,0.7703,0.697,0.8293,0.7302,0.8389
586,20,39,3,12,0.7973,0.625,0.9286,0.7273,0.8199
587,22,33,8,11,0.7432,0.6667,0.8049,0.6984,0.7761
588,22,32,11,9,0.7297,0.7097,0.7442,0.6875,0.8162
589,15,34,14,11,0.6622,0.5769,0.7083,0.5455,0.8077
590,20,33,10,11,0.7162,0.6452,0.7674,0.6557,0.7644
591,20,36,12,6,0.7568,0.7692,0.75,0.6897,0.8798
592,13,40,11,10,0.7162,0.5652,0.7843,0.5532,0.6965
593,15,41,4,14,0.7568,0.5172,0.9111,0.625,0.8253
594,15,40,9,10,0.7432,0.6,0.8163,0.6122,0.8098
595,22,38,8,6,0.8108,0.7857,0.8261,0.7586,0.8859
596,22,41,7,4,0.8514,0.8462,0.8542,0.8,0.847
