round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
167,16,48,6,4,0.8649,0.8,0.8889,0.7619,0.8454
168,19,41,7,7,0.8108,0.7308,0.8542,0.7308,0.8454
169,16,41,10,7,0.7703,0.6957,0.8039,0.6531,0.8508
170,16,49,5,4,0.8784,0.8,0.9074,0.7805,0.9278
171,22,34,12,6,0.7568,0.7857,0.7391,0.7097,0.8703
172,23,40,9,2,0.8514,0.92,0.8163,0.807,0.9339
173,24,37,9,4,0.8243,0.8571,0.8043,0.7869,0.8703
174,24,34,9,7,0.7838,0.7742,0.7907,0.75,0.7742
175,16,45,9,4,0.8243,0.8,0.8333,0.7111,0.863
176,28,36,5,5,0.8649,0.8485,0.878,0.8485,0.8736
177,21,41,6,6,0.8378,0.7778,0.8723,0.7778,0.8652
178,20,43,6,5,0.8514,0.8,0.8776,0.7843,0.8824
179,21,40,10,3,0.8243,0.875,0.8,0.7636,0.8758
180,21,44,5,4,0.8784,0.84,0.898,0.8235,0.9045
181,20,36,11,7,0.7568,0.7407,0.766,0.6897,0.7967
182,18,42,8,6,0.8108,0.75,0.84,0.72,0.8783
183,23,37,7,7,0.8108,0.7667,0.8409,0.7667,0.8583
184,19,43,8,4,0.8378,0.8261,0.8431,0.76,0.821
185,21,40,10,3,0.8243,0.875,0.8,0.7636,0.8733
186,19,41,8,6,0.8108,0.76,0.8367,0.7308,0.8727
187,12,43,12,7,0.7432,0.6316,0.7818,0.5581,0.777
188,20,36,11,7,0.7568,0.7407,0.766,0.6897,0.8369
189,22,41,7,4,0.8514,0.8462,0.8542,0.8,0.875
190,27,32,8,7,0.7973,0.7941,0.8,0.7826,0.8316
191,20,31,12,11,0.6892,0.6452,0.7209,0.6349,0.6879
192,27,36,4,7,0.8514,0.7941,0.9,0.8308,0.8721
193,20,34,10,10,0.7297,0.6667,0.7727,0.6667,0.8053
194,25,35,7,7,0.8108,0.7812,0.8333,0.7812,0.8199
195,15,41,12,6,0.7568,0.7143,0.7736,0.625,0.8338
196,16,43,6,9,0.7973,0.64,0.8776,0.6809,0.769
197,16,41,10,7,0.7703,0.6957,0.8039,0.6531,0.8031
198,22,40,6,6,0.8378,0.7857,0.8696,0.7857,0.8672
199,30,37,3,4,0.9054,0.8824,0.925,0.8955,0.9272
200,19,42,4,9,0.8243,0.6786,0.913,0.7451,0.8571
201,21,41,6,6,0.8378,0.7778,0.8723,0.7778,0.8542
202,14,46,8,6,0.8108,0.7,0.8519,0.6667,0.7769
203,20,38,11,5,0.7838,0.8,0.7755,0.7143,0.8914
204,26,36,7,5,0.8378,0.8387,0.8372,0.8125,0.9235
205,22,40,9,3,0.8378,0.88,0.8163,0.7857,0.8808
206,16,45,4,9,0.8243,0.64,0.9184,0.7111,0.8229
207,14,48,8,4,0.8378,0.7778,0.8571,0.7,0.9117
208,24,36,5,9,0.8108,0.7273,0.878,0.7742,0.8307
209,19,41,7,7,0.8108,0.7308,0.8542,0.7308,0.8534
210,16,44,6,8,0.8108,0.6667,0.88,0.6957,0.7358
211,20,34,15,5,0.7297,0.8,0.6939,0.6667,0.8384
212,14,44,8,8,0.7838,0.6364,0.8462,0.6364,0.8042
213,25,36,9,4,0.8243,0.8621,0.8,0.7937,0.8996
214,20,41,6,7,0.8243,0.7407,0.8723,0.7547,0.8243
215,17,45,8,4,0.8378,0.8095,0.8491,0.7391,0.8904
216,21,42,8,3,0.8514,0.875,0.84,0.7925,0.92
217,18,42,6,8,0.8108,0.6923,0.875,0.72,0.7877
218,23,42,5,4,0.8784,0.8519,0.8936,0.8364,0.9196
219,12,50,6,6,0.8378,0.6667,0.8929,0.6667,0.8333
220,23,40,8,3,0.8514,0.8846,0.8333,0.807,0.9175
221,26,35,8,5,0.8243,0.8387,0.814,0.8,0.8567
222,25,38,9,2,0.8514,0.9259,0.8085,0.8197,0.9165
223,25,31,11,7,0.7568,0.7812,0.7381,0.7353,0.8356
224,20,38,9,7,0.7838,0.7407,0.8085,0.7143,0.8258
225,23,43,4,4,0.8919,0.8519,0.9149,0.8519,0.9559
226,21,44,5,4,0.8784,0.84,0.898,0.8235,0.8882
227,23,36,8,7,0.7973,0.7667,0.8182,0.7541,0.8417
228,14,46,8,6,0.8108,0.7,0.8519,0.6667,0.8657
229,20,41,8,5,0.8243,0.8,0.8367,0.7547,0.8841
230,18,45,7,4,0.8514,0.8182,0.8654,0.766,0.8925
231,22,40,8,4,0.8378,0.8462,0.8333,0.7857,0.9046
232,25,38,5,6,0.8514,0.8065,0.8837,0.8197,0.892
233,19,37,9,9,0.7568,0.6786,0.8043,0.6786,0.7516
234,20,44,4,6,0.8649,0.7692,0.9167,0.8,0.8726
235,16,44,8,6,0.8108,0.7273,0.8462,0.6957,0.7517
