Component,Top_Rank,Step_Index,SD_Value,Mean_Displacement_mm,Max_Displacement_mm,Mean_Inward_Atrophy_mm,Mean_Outward_Expansion_mm
PLS1,1,50,2.0,0.03553528157726109,0.078864984300664,0.021785814173499174,0.00017090129532246545
PLS1,1,51,2.1,0.03731204565612414,0.08280823351569722,0.022875104882174136,0.00017944636008858847
PLS1,1,52,2.2,0.039088809734987205,0.08675148273073041,0.023964395590849095,0.0001879914248547117
PLS1,1,53,2.3,0.040865573813850246,0.09069473194576357,0.025053686299524047,0.00019653648962083487
PLS1,1,54,2.4,0.0426423378927133,0.09463798116079677,0.02614297700819901,0.00020508155438695805
PLS1,1,55,2.5,0.04441910197157637,0.09858123037582997,0.027232267716873967,0.00021362661915308123
PLS1,1,56,2.6,0.04619586605043942,0.10252447959086318,0.02832155842554893,0.00022217168391920465
PLS1,1,57,2.7,0.047972630129302474,0.10646772880589639,0.029410849134223885,0.00023071674868532796
PLS1,1,58,2.8,0.04974939420816552,0.11041097802092956,0.030500139842898844,0.00023926181345145116
PLS1,1,59,2.9,0.05152615828702857,0.11435422723596277,0.0315894305515738,0.00024780687821757445
PLS1,1,60,3.0,0.05330292236589164,0.118297476450996,0.03267872126024876,0.0002563519429836978
