Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
Accuracy,Ds005602,right,SqueezeNet,SVM,0.895,0.8774,9.45769490444982e-66,Yes (p<0.01)
Accuracy,Ds004469,left,MLP,MobileNet,0.7294,0.5444,1.5672695818443833e-276,Yes (p<0.01)
Accuracy,Ds004469,left,MLP,PointNet,0.7294,0.5444,1.5672695818443833e-276,Yes (p<0.01)
Accuracy,Ds004469,left,MLP,ResNet+AE,0.7294,0.5444,1.5672695818443833e-276,Yes (p<0.01)
Accuracy,Ds004469,left,MLP,ResNet,0.7294,0.5444,1.5672695818443833e-276,Yes (p<0.01)
Accuracy,Ds004469,left,MLP,SqueezeNet,0.7294,0.5482,9.005050138147147e-173,Yes (p<0.01)
Accuracy,Ds004469,left,MLP,SVM,0.7294,0.6401,3.1959149259677207e-162,Yes (p<0.01)
Accuracy,Ds004469,left,MobileNet,PointNet,0.5444,0.5444,1.0,No
Accuracy,Ds004469,left,MobileNet,ResNet+AE,0.5444,0.5444,1.0,No
Accuracy,Ds004469,left,MobileNet,ResNet,0.5444,0.5444,1.0,No
Accuracy,Ds004469,left,MobileNet,SqueezeNet,0.5444,0.5482,0.3372525713877231,No
Accuracy,Ds004469,left,MobileNet,SVM,0.5444,0.6401,1.8166796704867197e-173,Yes (p<0.01)
Accuracy,Ds004469,left,PointNet,ResNet+AE,0.5444,0.5444,1.0,No
Accuracy,Ds004469,left,PointNet,ResNet,0.5444,0.5444,1.0,No
Accuracy,Ds004469,left,PointNet,SqueezeNet,0.5444,0.5482,0.3372525713877231,No
Accuracy,Ds004469,left,PointNet,SVM,0.5444,0.6401,1.8166796704867197e-173,Yes (p<0.01)
Accuracy,Ds004469,left,ResNet+AE,ResNet,0.5444,0.5444,1.0,No
Accuracy,Ds004469,left,ResNet+AE,SqueezeNet,0.5444,0.5482,0.3372525713877231,No
Accuracy,Ds004469,left,ResNet+AE,SVM,0.5444,0.6401,1.8166796704867197e-173,Yes (p<0.01)
Accuracy,Ds004469,left,ResNet,SqueezeNet,0.5444,0.5482,0.3372525713877231,No
Accuracy,Ds004469,left,ResNet,SVM,0.5444,0.6401,1.8166796704867197e-173,Yes (p<0.01)
Accuracy,Ds004469,left,SqueezeNet,SVM,0.5482,0.6401,2.990635501215524e-72,Yes (p<0.01)
