Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
F1_Class0,All_Augment_tain,right,ResNet,SVM,0.9094,0.8866,8.878992612153871e-240,Yes (p<0.01)
F1_Class0,Ds005602,left,MLP,MobileNet,0.8529,0.7972,0.0,Yes (p<0.01)
F1_Class0,Ds005602,left,MLP,ResNet+AE,0.8529,0.7699,0.0,Yes (p<0.01)
F1_Class0,Ds005602,left,MLP,ResNet,0.8529,0.8287,3.6219458463596975e-106,Yes (p<0.01)
F1_Class0,Ds005602,left,MLP,SVM,0.8529,0.8069,4.2652086952334016e-241,Yes (p<0.01)
F1_Class0,Ds005602,left,MobileNet,ResNet+AE,0.7972,0.7699,3.073080947560661e-151,Yes (p<0.01)
F1_Class0,Ds005602,left,MobileNet,ResNet,0.7972,0.8287,6.627683896232761e-215,Yes (p<0.01)
F1_Class0,Ds005602,left,MobileNet,SVM,0.7972,0.8069,9.066717711163976e-23,Yes (p<0.01)
F1_Class0,Ds005602,left,ResNet+AE,ResNet,0.7699,0.8287,0.0,Yes (p<0.01)
F1_Class0,Ds005602,left,ResNet+AE,SVM,0.7699,0.8069,1.1897159527958055e-302,Yes (p<0.01)
F1_Class0,Ds005602,left,ResNet,SVM,0.8287,0.8069,1.3412236113151313e-122,Yes (p<0.01)
F1_Class0,Ds005602,right,MLP,MobileNet,0.9419,0.9251,9.1604640668046e-239,Yes (p<0.01)
F1_Class0,Ds005602,right,MLP,ResNet+AE,0.9419,0.9239,1.353229916694178e-236,Yes (p<0.01)
F1_Class0,Ds005602,right,MLP,ResNet,0.9419,0.9158,2.664007266590369e-294,Yes (p<0.01)
F1_Class0,Ds005602,right,MLP,SVM,0.9419,0.9332,1.2760013725964655e-150,Yes (p<0.01)
F1_Class0,Ds005602,right,MobileNet,ResNet+AE,0.9251,0.9239,0.0010640777161852,Yes (p<0.01)
F1_Class0,Ds005602,right,MobileNet,ResNet,0.9251,0.9158,2.76813674616343e-154,Yes (p<0.01)
F1_Class0,Ds005602,right,MobileNet,SVM,0.9251,0.9332,5.7469700512455576e-154,Yes (p<0.01)
F1_Class0,Ds005602,right,ResNet+AE,ResNet,0.9239,0.9158,5.394463149383594e-154,Yes (p<0.01)
F1_Class0,Ds005602,right,ResNet+AE,SVM,0.9239,0.9332,2.7946002913712235e-154,Yes (p<0.01)
F1_Class0,Ds005602,right,ResNet,SVM,0.9158,0.9332,4.0386545484471804e-235,Yes (p<0.01)
F1_Class1,All_Augment_tain,left,MLP,MobileNet,0.7105,0.6959,4.767479393284745e-30,Yes (p<0.01)
F1_Class1,All_Augment_tain,left,MLP,ResNet+AE,0.7105,0.673,7.199871527894615e-196,Yes (p<0.01)
F1_Class1,All_Augment_tain,left,MLP,ResNet,0.7105,0.7521,0.0,Yes (p<0.01)
F1_Class1,All_Augment_tain,left,MLP,SVM,0.7105,0.6927,5.713389947449004e-54,Yes (p<0.01)
