round,TP_0,TN_0,FP_0,FN_0,Accuracy_0,Sensitivity_0,Specificity_0,F1_0,AUC_0,TP_1,TN_1,FP_1,FN_1,Accuracy_1,Sensitivity_1,Specificity_1,F1_1,AUC_1,TP_2,TN_2,FP_2,FN_2,Accuracy_2,Sensitivity_2,Specificity_2,F1_2,AUC_2,TP_3,TN_3,FP_3,FN_3,Accuracy_3,Sensitivity_3,Specificity_3,F1_3,AUC_3,TP_4,TN_4,FP_4,FN_4,Accuracy_4,Sensitivity_4,Specificity_4,F1_4,AUC_4,TP_5,TN_5,FP_5,FN_5,Accuracy_5,Sensitivity_5,Specificity_5,F1_5,AUC_5,TP_6,TN_6,FP_6,FN_6,Accuracy_6,Sensitivity_6,Specificity_6,F1_6,AUC_6,TP_7,TN_7,FP_7,FN_7,Accuracy_7,Sensitivity_7,Specificity_7,F1_7,AUC_7,TP_8,TN_8,FP_8,FN_8,Accuracy_8,Sensitivity_8,Specificity_8,F1_8,AUC_8,TP_9,TN_9,FP_9,FN_9,Accuracy_9,Sensitivity_9,Specificity_9,F1_9,AUC_9,TP_10,TN_10,FP_10,FN_10,Accuracy_10,Sensitivity_10,Specificity_10,F1_10,AUC_10,TP_11,TN_11,FP_11,FN_11,Accuracy_11,Sensitivity_11,Specificity_11,F1_11,AUC_11
935,12,30,17,15,0.5676,0.4444,0.6383,0.4286,0.669,12,32,15,15,0.5946,0.4444,0.6809,0.4444,0.6541,14,31,16,13,0.6081,0.5185,0.6596,0.4912,0.6635,16,33,14,11,0.6622,0.5926,0.7021,0.5614,0.6801,21,34,13,6,0.7432,0.7778,0.7234,0.6885,0.8448,14,30,17,13,0.5946,0.5185,0.6383,0.4828,0.6769,8,36,19,12,0.5867,0.4,0.6545,0.3404,0.6418,9,45,10,11,0.72,0.45,0.8182,0.4615,0.6755,11,46,9,9,0.76,0.55,0.8364,0.55,0.7464,8,41,14,12,0.6533,0.4,0.7455,0.381,0.71,15,42,13,5,0.76,0.75,0.7636,0.625,0.7391,9,36,19,11,0.6,0.45,0.6545,0.375,0.6755
936,14,31,16,13,0.6081,0.5185,0.6596,0.4912,0.6911,16,29,18,11,0.6081,0.5926,0.617,0.5246,0.7147,18,30,17,9,0.6486,0.6667,0.6383,0.5806,0.7226,17,31,16,10,0.6486,0.6296,0.6596,0.5667,0.6659,20,31,16,7,0.6892,0.7407,0.6596,0.6349,0.8164,21,30,17,6,0.6892,0.7778,0.6383,0.6462,0.6946,20,43,8,4,0.84,0.8333,0.8431,0.7692,0.8423,18,42,9,6,0.8,0.75,0.8235,0.7059,0.8325,20,46,5,4,0.88,0.8333,0.902,0.8163,0.8685,18,45,6,6,0.84,0.75,0.8824,0.75,0.8489,18,46,5,6,0.8533,0.75,0.902,0.766,0.8415,18,43,8,6,0.8133,0.75,0.8431,0.72,0.8342
937,18,30,19,7,0.6486,0.72,0.6122,0.5806,0.8033,15,34,15,10,0.6622,0.6,0.6939,0.5455,0.791,15,33,16,10,0.6486,0.6,0.6735,0.5357,0.7437,16,35,14,9,0.6892,0.64,0.7143,0.5818,0.7576,16,34,15,9,0.6757,0.64,0.6939,0.5714,0.8367,21,32,17,4,0.7162,0.84,0.6531,0.6667,0.7947,14,36,11,14,0.6667,0.5,0.766,0.5283,0.6907,17,43,4,11,0.8,0.6071,0.9149,0.6939,0.7834,18,43,4,10,0.8133,0.6429,0.9149,0.72,0.8146,14,37,10,14,0.68,0.5,0.7872,0.5385,0.7439,21,42,5,7,0.84,0.75,0.8936,0.7778,0.8161,14,33,14,14,0.6267,0.5,0.7021,0.5,0.7348
938,16,37,17,4,0.7162,0.8,0.6852,0.6038,0.8176,17,39,15,3,0.7568,0.85,0.7222,0.6538,0.8167,18,36,18,2,0.7297,0.9,0.6667,0.6429,0.8278,18,37,17,2,0.7432,0.9,0.6852,0.6545,0.8389,19,37,17,1,0.7568,0.95,0.6852,0.6786,0.8824,18,36,18,2,0.7297,0.9,0.6667,0.6429,0.8435,21,35,12,7,0.7467,0.75,0.7447,0.6885,0.8526,22,40,7,6,0.8267,0.7857,0.8511,0.7719,0.8564,21,40,7,7,0.8133,0.75,0.8511,0.75,0.8822,20,38,9,8,0.7733,0.7143,0.8085,0.7018,0.8693,25,38,9,3,0.84,0.8929,0.8085,0.8065,0.8807,19,35,12,9,0.72,0.6786,0.7447,0.6441,0.8184
939,11,38,14,11,0.6622,0.5,0.7308,0.4681,0.7797,10,38,14,12,0.6486,0.4545,0.7308,0.4348,0.7465,14,43,9,8,0.7703,0.6364,0.8269,0.6222,0.7701,14,43,9,8,0.7703,0.6364,0.8269,0.6222,0.7876,16,44,8,6,0.8108,0.7273,0.8462,0.6957,0.875,19,38,14,3,0.7703,0.8636,0.7308,0.6909,0.7937,13,40,8,14,0.7067,0.4815,0.8333,0.5417,0.7739,13,41,7,14,0.72,0.4815,0.8542,0.5532,0.7894,15,42,6,12,0.76,0.5556,0.875,0.625,0.8156,11,39,9,16,0.6667,0.4074,0.8125,0.4681,0.7932,18,42,6,9,0.8,0.6667,0.875,0.7059,0.8179,14,40,8,13,0.72,0.5185,0.8333,0.5714,0.7801
940,12,35,15,12,0.6351,0.5,0.7,0.4706,0.6717,12,35,15,12,0.6351,0.5,0.7,0.4706,0.6558,15,35,15,9,0.6757,0.625,0.7,0.5556,0.7075,16,35,15,8,0.6892,0.6667,0.7,0.5818,0.6992,20,38,12,4,0.7838,0.8333,0.76,0.7143,0.8292,15,34,16,9,0.6622,0.625,0.68,0.5455,0.7033,14,42,12,7,0.7467,0.6667,0.7778,0.5957,0.836,16,45,9,5,0.8133,0.7619,0.8333,0.6957,0.8545,14,49,5,7,0.84,0.6667,0.9074,0.7,0.9021,14,45,9,7,0.7867,0.6667,0.8333,0.6364,0.8827,17,48,6,4,0.8667,0.8095,0.8889,0.7727,0.9189,12,44,10,9,0.7467,0.5714,0.8148,0.5581,0.8457
941,17,28,20,9,0.6081,0.6538,0.5833,0.5397,0.6571,15,28,20,11,0.5811,0.5769,0.5833,0.4918,0.6675,18,27,21,8,0.6081,0.6923,0.5625,0.5538,0.7027,17,30,18,9,0.6351,0.6538,0.625,0.5574,0.6643,20,34,14,6,0.7297,0.7692,0.7083,0.6667,0.8438,20,28,20,6,0.6486,0.7692,0.5833,0.6061,0.6506,18,43,6,8,0.8133,0.6923,0.8776,0.72,0.8878,21,44,5,5,0.8667,0.8077,0.898,0.8077,0.8846,20,47,2,6,0.8933,0.7692,0.9592,0.8333,0.9066,20,44,5,6,0.8533,0.7692,0.898,0.7843,0.8901,21,47,2,5,0.9067,0.8077,0.9592,0.8571,0.9082,20,41,8,6,0.8133,0.7692,0.8367,0.7407,0.8878
942,16,32,12,14,0.6486,0.5333,0.7273,0.5517,0.803,22,34,10,8,0.7568,0.7333,0.7727,0.7097,0.8432,25,34,10,5,0.7973,0.8333,0.7727,0.7692,0.8538,22,35,9,8,0.7703,0.7333,0.7955,0.7213,0.8318,27,38,6,3,0.8784,0.9,0.8636,0.8571,0.9227,25,33,11,5,0.7838,0.8333,0.75,0.7576,0.8189,17,43,6,9,0.8,0.6538,0.8776,0.6939,0.8171,16,44,5,10,0.8,0.6154,0.898,0.6809,0.7755,18,45,4,8,0.84,0.6923,0.9184,0.75,0.8414,16,43,6,10,0.7867,0.6154,0.8776,0.6667,0.8462,17,44,5,9,0.8133,0.6538,0.898,0.7083,0.8273,17,43,6,9,0.8,0.6538,0.8776,0.6939,0.8344
943,9,37,16,12,0.6216,0.4286,0.6981,0.3913,0.6864,11,38,15,10,0.6622,0.5238,0.717,0.4681,0.6864,11,37,16,10,0.6486,0.5238,0.6981,0.4583,0.6837,12,39,14,9,0.6892,0.5714,0.7358,0.5106,0.6774,15,41,12,6,0.7568,0.7143,0.7736,0.625,0.8212,14,39,14,7,0.7162,0.6667,0.7358,0.5714,0.7161,12,47,13,3,0.7867,0.8,0.7833,0.6,0.8722,14,49,11,1,0.84,0.9333,0.8167,0.7,0.9267,14,53,7,1,0.8933,0.9333,0.8833,0.7778,0.9422,13,49,11,2,0.8267,0.8667,0.8167,0.6667,0.9111,15,51,9,0,0.88,1.0,0.85,0.7692,0.9356,10,50,10,5,0.8,0.6667,0.8333,0.5714,0.8822
944,11,36,13,14,0.6351,0.44,0.7347,0.449,0.7257,14,36,13,11,0.6757,0.56,0.7347,0.5385,0.7273,15,37,12,10,0.7027,0.6,0.7551,0.5769,0.7543,15,39,10,10,0.7297,0.6,0.7959,0.6,0.7478,21,41,8,4,0.8378,0.84,0.8367,0.7778,0.8898,17,37,12,8,0.7297,0.68,0.7551,0.6296,0.7535,13,35,20,7,0.64,0.65,0.6364,0.4906,0.7973,15,42,13,5,0.76,0.75,0.7636,0.625,0.8264,17,48,7,3,0.8667,0.85,0.8727,0.7727,0.8709,15,44,11,5,0.7867,0.75,0.8,0.6522,0.8709,18,47,8,2,0.8667,0.9,0.8545,0.7826,0.8755,14,36,19,6,0.6667,0.7,0.6545,0.5283,0.8459
