round,TP_0,TN_0,FP_0,FN_0,Accuracy_0,Sensitivity_0,Specificity_0,F1_0,AUC_0,TP_1,TN_1,FP_1,FN_1,Accuracy_1,Sensitivity_1,Specificity_1,F1_1,AUC_1,TP_2,TN_2,FP_2,FN_2,Accuracy_2,Sensitivity_2,Specificity_2,F1_2,AUC_2,TP_3,TN_3,FP_3,FN_3,Accuracy_3,Sensitivity_3,Specificity_3,F1_3,AUC_3,TP_4,TN_4,FP_4,FN_4,Accuracy_4,Sensitivity_4,Specificity_4,F1_4,AUC_4,TP_5,TN_5,FP_5,FN_5,Accuracy_5,Sensitivity_5,Specificity_5,F1_5,AUC_5,TP_6,TN_6,FP_6,FN_6,Accuracy_6,Sensitivity_6,Specificity_6,F1_6,AUC_6,TP_7,TN_7,FP_7,FN_7,Accuracy_7,Sensitivity_7,Specificity_7,F1_7,AUC_7,TP_8,TN_8,FP_8,FN_8,Accuracy_8,Sensitivity_8,Specificity_8,F1_8,AUC_8,TP_9,TN_9,FP_9,FN_9,Accuracy_9,Sensitivity_9,Specificity_9,F1_9,AUC_9,TP_10,TN_10,FP_10,FN_10,Accuracy_10,Sensitivity_10,Specificity_10,F1_10,AUC_10,TP_11,TN_11,FP_11,FN_11,Accuracy_11,Sensitivity_11,Specificity_11,F1_11,AUC_11
163,12,38,22,2,0.6757,0.8571,0.6333,0.5,0.8202,11,44,16,3,0.7432,0.7857,0.7333,0.5366,0.8464,11,38,22,3,0.6622,0.7857,0.6333,0.4681,0.844,10,41,19,4,0.6892,0.7143,0.6833,0.4651,0.8429,12,40,20,2,0.7027,0.8571,0.6667,0.5217,0.8905,13,38,22,1,0.6892,0.9286,0.6333,0.5306,0.8214,13,46,9,7,0.7867,0.65,0.8364,0.619,0.8545,13,49,6,7,0.8267,0.65,0.8909,0.6667,0.83,14,51,4,6,0.8667,0.7,0.9273,0.7368,0.9027,11,46,9,9,0.76,0.55,0.8364,0.55,0.8627,14,51,4,6,0.8667,0.7,0.9273,0.7368,0.9291,11,47,8,9,0.7733,0.55,0.8545,0.5641,0.8536
164,16,38,13,7,0.7297,0.6957,0.7451,0.6154,0.8261,17,38,13,6,0.7432,0.7391,0.7451,0.6415,0.8593,18,40,11,5,0.7838,0.7826,0.7843,0.6923,0.8653,19,40,11,4,0.7973,0.8261,0.7843,0.717,0.844,20,44,7,3,0.8649,0.8696,0.8627,0.8,0.9395,20,37,14,3,0.7703,0.8696,0.7255,0.7018,0.8316,15,45,9,6,0.8,0.7143,0.8333,0.6667,0.8783,13,50,4,8,0.84,0.619,0.9259,0.6842,0.873,17,52,2,4,0.92,0.8095,0.963,0.85,0.9506,12,48,6,9,0.8,0.5714,0.8889,0.6154,0.9198,15,51,3,6,0.88,0.7143,0.9444,0.7692,0.9242,16,45,9,5,0.8133,0.7619,0.8333,0.6957,0.8915
165,21,31,11,11,0.7027,0.6562,0.7381,0.6562,0.7738,26,29,13,6,0.7432,0.8125,0.6905,0.7324,0.8251,27,30,12,5,0.7703,0.8438,0.7143,0.7606,0.8185,25,30,12,7,0.7432,0.7812,0.7143,0.7246,0.7708,28,32,10,4,0.8108,0.875,0.7619,0.8,0.8929,28,29,13,4,0.7703,0.875,0.6905,0.7671,0.782,11,45,8,11,0.7467,0.5,0.8491,0.5366,0.7856,13,47,6,9,0.8,0.5909,0.8868,0.6341,0.7993,14,49,4,8,0.84,0.6364,0.9245,0.7,0.8328,12,49,4,10,0.8133,0.5455,0.9245,0.6316,0.7942,15,46,7,7,0.8133,0.6818,0.8679,0.6818,0.8302,12,45,8,10,0.76,0.5455,0.8491,0.5714,0.7689
166,10,32,18,14,0.5676,0.4167,0.64,0.3846,0.6717,14,35,15,10,0.6622,0.5833,0.7,0.5283,0.6792,14,37,13,10,0.6892,0.5833,0.74,0.549,0.6633,13,35,15,11,0.6486,0.5417,0.7,0.5,0.6542,18,34,16,6,0.7027,0.75,0.68,0.6207,0.7917,17,32,18,7,0.6622,0.7083,0.64,0.5763,0.6983,14,34,19,8,0.64,0.6364,0.6415,0.5091,0.747,17,37,16,5,0.72,0.7727,0.6981,0.6182,0.7273,16,37,16,6,0.7067,0.7273,0.6981,0.5926,0.7633,16,36,17,6,0.6933,0.7273,0.6792,0.5818,0.7719,18,35,18,4,0.7067,0.8182,0.6604,0.6207,0.7551,16,34,19,6,0.6667,0.7273,0.6415,0.5614,0.7307
167,13,32,16,13,0.6081,0.5,0.6667,0.4727,0.6522,13,33,15,13,0.6216,0.5,0.6875,0.4815,0.6691,15,34,14,11,0.6622,0.5769,0.7083,0.5455,0.6819,17,33,15,9,0.6757,0.6538,0.6875,0.5862,0.6995,20,35,13,6,0.7432,0.7692,0.7292,0.678,0.8413,17,31,17,9,0.6486,0.6538,0.6458,0.5667,0.6899,12,40,14,9,0.6933,0.5714,0.7407,0.5106,0.6914,11,42,12,10,0.7067,0.5238,0.7778,0.5,0.7055,15,46,8,6,0.8133,0.7143,0.8519,0.6818,0.7663,10,41,13,11,0.68,0.4762,0.7593,0.4545,0.7328,14,45,9,7,0.7867,0.6667,0.8333,0.6364,0.761,13,40,14,8,0.7067,0.619,0.7407,0.5417,0.7284
168,21,32,12,9,0.7162,0.7,0.7273,0.6667,0.7909,19,33,11,11,0.7027,0.6333,0.75,0.6333,0.7795,20,32,12,10,0.7027,0.6667,0.7273,0.6452,0.7932,21,35,9,9,0.7568,0.7,0.7955,0.7,0.7962,24,37,7,6,0.8243,0.8,0.8409,0.7869,0.9114,23,33,11,7,0.7568,0.7667,0.75,0.7188,0.8042,8,39,19,9,0.6267,0.4706,0.6724,0.3636,0.7454,9,43,15,8,0.6933,0.5294,0.7414,0.439,0.7606,11,47,11,6,0.7733,0.6471,0.8103,0.5641,0.8073,8,40,18,9,0.64,0.4706,0.6897,0.3721,0.7738,15,46,12,2,0.8133,0.8824,0.7931,0.6818,0.8443,9,40,18,8,0.6533,0.5294,0.6897,0.4091,0.7495
169,18,31,15,10,0.6622,0.6429,0.6739,0.5902,0.7578,17,33,13,11,0.6757,0.6071,0.7174,0.5862,0.7407,19,33,13,9,0.7027,0.6786,0.7174,0.6333,0.7578,20,33,13,8,0.7162,0.7143,0.7174,0.6557,0.7616,22,35,11,6,0.7703,0.7857,0.7609,0.7213,0.8447,20,31,15,8,0.6892,0.7143,0.6739,0.6349,0.7492,12,43,11,9,0.7333,0.5714,0.7963,0.5455,0.8386,14,48,6,7,0.8267,0.6667,0.8889,0.6829,0.9074,15,49,5,6,0.8533,0.7143,0.9074,0.7317,0.9259,12,47,7,9,0.7867,0.5714,0.8704,0.6,0.8915,19,47,7,2,0.88,0.9048,0.8704,0.8085,0.9453,12,43,11,9,0.7333,0.5714,0.7963,0.5455,0.8616
170,12,32,21,9,0.5946,0.5714,0.6038,0.4444,0.6541,11,36,17,10,0.6351,0.5238,0.6792,0.449,0.6343,12,38,15,9,0.6757,0.5714,0.717,0.5,0.6101,12,38,15,9,0.6757,0.5714,0.717,0.5,0.6424,13,38,15,8,0.6892,0.619,0.717,0.5306,0.7826,14,33,20,7,0.6351,0.6667,0.6226,0.5091,0.6509,11,38,17,9,0.6533,0.55,0.6909,0.4583,0.6809,12,50,5,8,0.8267,0.6,0.9091,0.6486,0.7609,14,50,5,6,0.8533,0.7,0.9091,0.7179,0.8164,11,43,12,9,0.72,0.55,0.7818,0.5116,0.7364,14,50,5,6,0.8533,0.7,0.9091,0.7179,0.8,11,41,14,9,0.6933,0.55,0.7455,0.4889,0.7105
171,15,32,18,9,0.6351,0.625,0.64,0.5263,0.7325,14,35,15,10,0.6622,0.5833,0.7,0.5283,0.7392,16,34,16,8,0.6757,0.6667,0.68,0.5714,0.7983,17,36,14,7,0.7162,0.7083,0.72,0.6182,0.7633,21,37,13,3,0.7838,0.875,0.74,0.7241,0.9208,17,34,16,7,0.6892,0.7083,0.68,0.5965,0.7533,16,48,8,3,0.8533,0.8421,0.8571,0.7442,0.9389,17,49,7,2,0.88,0.8947,0.875,0.7907,0.9596,17,52,4,2,0.92,0.8947,0.9286,0.85,0.9568,16,45,11,3,0.8133,0.8421,0.8036,0.6957,0.9539,19,52,4,0,0.9467,1.0,0.9286,0.9048,0.9718,16,46,10,3,0.8267,0.8421,0.8214,0.7111,0.9417
172,14,26,19,15,0.5405,0.4828,0.5778,0.4516,0.659,12,28,17,17,0.5405,0.4138,0.6222,0.4138,0.6567,16,29,16,13,0.6081,0.5517,0.6444,0.5246,0.6406,15,28,17,14,0.5811,0.5172,0.6222,0.4918,0.6222,19,31,14,10,0.6757,0.6552,0.6889,0.6129,0.7739,21,27,18,8,0.6486,0.7241,0.6,0.6176,0.6414,12,39,15,9,0.68,0.5714,0.7222,0.5,0.7831,16,43,11,5,0.7867,0.7619,0.7963,0.6667,0.8598,15,48,6,6,0.84,0.7143,0.8889,0.7143,0.8836,13,39,15,8,0.6933,0.619,0.7222,0.5306,0.8377,19,47,7,2,0.88,0.9048,0.8704,0.8085,0.9233,12,38,16,9,0.6667,0.5714,0.7037,0.4898,0.8131
173,11,34,18,11,0.6081,0.5,0.6538,0.4314,0.6818,12,36,16,10,0.6486,0.5455,0.6923,0.48,0.6976,13,34,18,9,0.6351,0.5909,0.6538,0.4906,0.7168,13,35,17,9,0.6486,0.5909,0.6731,0.5,0.6774,17,39,13,5,0.7568,0.7727,0.75,0.6538,0.8514,15,33,19,7,0.6486,0.6818,0.6346,0.5357,0.6753,17,36,13,9,0.7067,0.6538,0.7347,0.6071,0.763,17,41,8,9,0.7733,0.6538,0.8367,0.6667,0.7724,20,43,6,6,0.84,0.7692,0.8776,0.7692,0.8422,16,36,13,10,0.6933,0.6154,0.7347,0.5818,0.7857,20,41,8,6,0.8133,0.7692,0.8367,0.7407,0.8336,16,37,12,10,0.7067,0.6154,0.7551,0.5926,0.7649
174,17,28,19,10,0.6081,0.6296,0.5957,0.5397,0.7336,19,31,16,8,0.6757,0.7037,0.6596,0.6129,0.7415,24,28,19,3,0.7027,0.8889,0.5957,0.6857,0.7841,22,27,20,5,0.6622,0.8148,0.5745,0.6377,0.7336,25,33,14,2,0.7838,0.9259,0.7021,0.7576,0.8652,26,27,20,1,0.7162,0.963,0.5745,0.7123,0.7218,24,39,8,4,0.84,0.8571,0.8298,0.8,0.9119,22,40,7,6,0.8267,0.7857,0.8511,0.7719,0.9172,27,42,5,1,0.92,0.9643,0.8936,0.9,0.9476,22,38,9,6,0.8,0.7857,0.8085,0.7458,0.9301,25,42,5,3,0.8933,0.8929,0.8936,0.8621,0.9343,23,40,7,5,0.84,0.8214,0.8511,0.7931,0.9217
175,15,31,21,7,0.6216,0.6818,0.5962,0.5172,0.764,14,35,17,8,0.6622,0.6364,0.6731,0.5283,0.792,16,32,20,6,0.6486,0.7273,0.6154,0.5517,0.7666,16,33,19,6,0.6622,0.7273,0.6346,0.5614,0.7474,16,36,16,6,0.7027,0.7273,0.6923,0.5926,0.8435,19,31,21,3,0.6757,0.8636,0.5962,0.6129,0.7522,9,45,10,11,0.72,0.45,0.8182,0.4615,0.6682,9,49,6,11,0.7733,0.45,0.8909,0.5143,0.6645,11,50,5,9,0.8133,0.55,0.9091,0.6111,0.7327,8,44,11,12,0.6933,0.4,0.8,0.4103,0.6736,11,50,5,9,0.8133,0.55,0.9091,0.6111,0.74,9,45,10,11,0.72,0.45,0.8182,0.4615,0.6873
176,19,38,8,9,0.7703,0.6786,0.8261,0.6909,0.8408,17,38,8,11,0.7432,0.6071,0.8261,0.6415,0.7974,21,36,10,7,0.7703,0.75,0.7826,0.7119,0.7981,22,36,10,6,0.7838,0.7857,0.7826,0.7333,0.8005,22,37,9,6,0.7973,0.7857,0.8043,0.7458,0.8727,22,36,10,6,0.7838,0.7857,0.7826,0.7333,0.8393,8,42,18,7,0.6667,0.5333,0.7,0.3902,0.6978,9,47,13,6,0.7467,0.6,0.7833,0.4865,0.7189,9,49,11,6,0.7733,0.6,0.8167,0.5143,0.7367,8,44,16,7,0.6933,0.5333,0.7333,0.4103,0.7222,12,45,15,3,0.76,0.8,0.75,0.5714,0.7628,8,42,18,7,0.6667,0.5333,0.7,0.3902,0.7067
177,13,37,12,12,0.6757,0.52,0.7551,0.52,0.7347,15,36,13,10,0.6892,0.6,0.7347,0.566,0.7118,15,38,11,10,0.7162,0.6,0.7755,0.5882,0.7257,16,38,11,9,0.7297,0.64,0.7755,0.6154,0.7265,20,39,10,5,0.7973,0.8,0.7959,0.7273,0.8498,16,37,12,9,0.7162,0.64,0.7551,0.6038,0.751,7,48,11,9,0.7333,0.4375,0.8136,0.4118,0.7903,9,50,9,7,0.7867,0.5625,0.8475,0.5294,0.8263,11,56,3,5,0.8933,0.6875,0.9492,0.7333,0.9142,8,54,5,8,0.8267,0.5,0.9153,0.5517,0.875,13,54,5,3,0.8933,0.8125,0.9153,0.7647,0.9333,6,49,10,10,0.7333,0.375,0.8305,0.375,0.8263
178,17,31,21,5,0.6486,0.7727,0.5962,0.5667,0.7325,16,30,22,6,0.6216,0.7273,0.5769,0.5333,0.7063,17,34,18,5,0.6892,0.7727,0.6538,0.5965,0.778,17,36,16,5,0.7162,0.7727,0.6923,0.6182,0.7264,18,39,13,4,0.7703,0.8182,0.75,0.6792,0.8453,18,34,18,4,0.7027,0.8182,0.6538,0.6207,0.7325,7,48,15,5,0.7333,0.5833,0.7619,0.4118,0.7989,8,52,11,4,0.8,0.6667,0.8254,0.5161,0.7844,8,54,9,4,0.8267,0.6667,0.8571,0.5517,0.8479,7,50,13,5,0.76,0.5833,0.7937,0.4375,0.8333,9,53,10,3,0.8267,0.75,0.8413,0.5806,0.8598,6,50,13,6,0.7467,0.5,0.7937,0.3871,0.7976
179,19,24,23,8,0.5811,0.7037,0.5106,0.5507,0.6958,18,31,16,9,0.6622,0.6667,0.6596,0.5902,0.7864,19,31,16,8,0.6757,0.7037,0.6596,0.6129,0.777,19,29,18,8,0.6486,0.7037,0.617,0.5938,0.7407,21,39,8,6,0.8108,0.7778,0.8298,0.75,0.8645,22,23,24,5,0.6081,0.8148,0.4894,0.6027,0.7218,10,46,14,5,0.7467,0.6667,0.7667,0.5128,0.8478,10,52,8,5,0.8267,0.6667,0.8667,0.6061,0.8444,12,52,8,3,0.8533,0.8,0.8667,0.6857,0.8844,9,50,10,6,0.7867,0.6,0.8333,0.5294,0.8856,13,49,11,2,0.8267,0.8667,0.8167,0.6667,0.8722,9,47,13,6,0.7467,0.6,0.7833,0.4865,0.8633
180,12,34,17,11,0.6216,0.5217,0.6667,0.4615,0.6914,10,35,16,13,0.6081,0.4348,0.6863,0.4082,0.653,12,33,18,11,0.6081,0.5217,0.6471,0.4528,0.6658,13,34,17,10,0.6351,0.5652,0.6667,0.4906,0.6641,16,36,15,7,0.7027,0.6957,0.7059,0.5926,0.7673,14,33,18,9,0.6351,0.6087,0.6471,0.5091,0.6726,10,40,15,10,0.6667,0.5,0.7273,0.4444,0.7127,11,46,9,9,0.76,0.55,0.8364,0.55,0.7755,11,48,7,9,0.7867,0.55,0.8727,0.5789,0.8264,9,42,13,11,0.68,0.45,0.7636,0.4286,0.7536,13,47,8,7,0.8,0.65,0.8545,0.6341,0.8164,9,41,14,11,0.6667,0.45,0.7455,0.4186,0.7232
181,13,30,20,11,0.5811,0.5417,0.6,0.4561,0.7008,12,32,18,12,0.5946,0.5,0.64,0.4444,0.7117,13,33,17,11,0.6216,0.5417,0.66,0.4815,0.6858,15,34,16,9,0.6622,0.625,0.68,0.5455,0.6717,16,35,15,8,0.6892,0.6667,0.7,0.5818,0.8192,17,32,18,7,0.6622,0.7083,0.64,0.5763,0.6908,18,38,11,8,0.7467,0.6923,0.7755,0.6545,0.8391,20,42,7,6,0.8267,0.7692,0.8571,0.7547,0.8493,19,46,3,7,0.8667,0.7308,0.9388,0.7917,0.8901,17,39,10,9,0.7467,0.6538,0.7959,0.6415,0.8642,21,43,6,5,0.8533,0.8077,0.8776,0.7925,0.883,18,37,12,8,0.7333,0.6923,0.7551,0.6429,0.8391
182,8,38,13,15,0.6216,0.3478,0.7451,0.3636,0.676,12,40,11,11,0.7027,0.5217,0.7843,0.5217,0.7255,15,40,11,8,0.7432,0.6522,0.7843,0.6122,0.7229,14,39,12,9,0.7162,0.6087,0.7647,0.5714,0.6974,17,42,9,6,0.7973,0.7391,0.8235,0.6939,0.844,17,39,12,6,0.7568,0.7391,0.7647,0.6538,0.7319,18,41,7,9,0.7867,0.6667,0.8542,0.6923,0.8048,18,42,6,9,0.8,0.6667,0.875,0.7059,0.7909,19,44,4,8,0.84,0.7037,0.9167,0.76,0.8441,16,41,7,11,0.76,0.5926,0.8542,0.64,0.821,19,42,6,8,0.8133,0.7037,0.875,0.7308,0.8302,17,42,6,10,0.7867,0.6296,0.875,0.68,0.8106
183,13,31,19,11,0.5946,0.5417,0.62,0.4643,0.6625,14,33,17,10,0.6351,0.5833,0.66,0.5091,0.695,14,36,14,10,0.6757,0.5833,0.72,0.5385,0.6958,11,34,16,13,0.6081,0.4583,0.68,0.4314,0.6475,16,36,14,8,0.7027,0.6667,0.72,0.5926,0.8067,19,31,19,5,0.6757,0.7917,0.62,0.6129,0.6667,12,42,13,8,0.72,0.6,0.7636,0.5333,0.7536,12,46,9,8,0.7733,0.6,0.8364,0.5854,0.74,12,47,8,8,0.7867,0.6,0.8545,0.6,0.79,10,43,12,10,0.7067,0.5,0.7818,0.4762,0.7709,13,43,12,7,0.7467,0.65,0.7818,0.5778,0.7827,12,41,14,8,0.7067,0.6,0.7455,0.5217,0.7291
184,21,25,17,11,0.6216,0.6562,0.5952,0.6,0.7448,22,24,18,10,0.6216,0.6875,0.5714,0.6111,0.7277,23,24,18,9,0.6351,0.7188,0.5714,0.6301,0.779,24,27,15,8,0.6892,0.75,0.6429,0.6761,0.7634,29,28,14,3,0.7703,0.9062,0.6667,0.7733,0.8676,25,26,16,7,0.6892,0.7812,0.619,0.6849,0.7481,17,46,6,6,0.84,0.7391,0.8846,0.7391,0.8997,20,45,7,3,0.8667,0.8696,0.8654,0.8,0.9114,20,48,4,3,0.9067,0.8696,0.9231,0.8511,0.9247,18,45,7,5,0.84,0.7826,0.8654,0.75,0.9181,22,45,7,1,0.8933,0.9565,0.8654,0.8462,0.9239,17,44,8,6,0.8133,0.7391,0.8462,0.7083,0.9051
185,11,41,13,9,0.7027,0.55,0.7593,0.5,0.7491,12,42,12,8,0.7297,0.6,0.7778,0.5455,0.7713,14,40,14,6,0.7297,0.7,0.7407,0.5833,0.8037,14,41,13,6,0.7432,0.7,0.7593,0.5957,0.7741,18,42,12,2,0.8108,0.9,0.7778,0.72,0.9148,14,40,14,6,0.7297,0.7,0.7407,0.5833,0.7889,16,45,9,5,0.8133,0.7619,0.8333,0.6957,0.8713,18,45,9,3,0.84,0.8571,0.8333,0.75,0.8651,17,48,6,4,0.8667,0.8095,0.8889,0.7727,0.9039,16,44,10,5,0.8,0.7619,0.8148,0.6809,0.8942,19,48,6,2,0.8933,0.9048,0.8889,0.8261,0.9039,16,43,11,5,0.7867,0.7619,0.7963,0.6667,0.8854
186,10,35,17,12,0.6081,0.4545,0.6731,0.4082,0.701,9,38,14,13,0.6351,0.4091,0.7308,0.4,0.7115,11,34,18,11,0.6081,0.5,0.6538,0.4314,0.7107,13,36,16,9,0.6622,0.5909,0.6923,0.5098,0.7168,16,40,12,6,0.7568,0.7273,0.7692,0.64,0.8864,16,35,17,6,0.6892,0.7273,0.6731,0.5818,0.7155,12,31,17,15,0.5733,0.4444,0.6458,0.4286,0.6983,16,36,12,11,0.6933,0.5926,0.75,0.5818,0.7153,15,38,10,12,0.7067,0.5556,0.7917,0.5769,0.7724,12,35,13,15,0.6267,0.4444,0.7292,0.4615,0.7569,20,36,12,7,0.7467,0.7407,0.75,0.678,0.7812,12,31,17,15,0.5733,0.4444,0.6458,0.4286,0.7025
187,16,37,15,6,0.7162,0.7273,0.7115,0.6038,0.7902,16,40,12,6,0.7568,0.7273,0.7692,0.64,0.8226,17,38,14,5,0.7432,0.7727,0.7308,0.6415,0.8243,17,40,12,5,0.7703,0.7727,0.7692,0.6667,0.8156,19,42,10,3,0.8243,0.8636,0.8077,0.7451,0.9126,19,40,12,3,0.7973,0.8636,0.7692,0.717,0.8265,14,39,15,7,0.7067,0.6667,0.7222,0.56,0.7513,13,49,5,8,0.8267,0.619,0.9074,0.6667,0.8228,15,50,4,6,0.8667,0.7143,0.9259,0.75,0.8589,13,44,10,8,0.76,0.619,0.8148,0.5909,0.784,14,48,6,7,0.8267,0.6667,0.8889,0.6829,0.8439,11,37,17,10,0.64,0.5238,0.6852,0.449,0.7593
188,19,25,15,15,0.5946,0.5588,0.625,0.5588,0.7,17,24,16,17,0.5541,0.5,0.6,0.5075,0.6625,23,25,15,11,0.6486,0.6765,0.625,0.6389,0.7169,23,28,12,11,0.6892,0.6765,0.7,0.6667,0.7199,27,31,9,7,0.7838,0.7941,0.775,0.7714,0.8471,24,27,13,10,0.6892,0.7059,0.675,0.6761,0.7125,10,38,18,9,0.64,0.5263,0.6786,0.4255,0.7547,14,44,12,5,0.7733,0.7368,0.7857,0.6222,0.7735,13,45,11,6,0.7733,0.6842,0.8036,0.6047,0.7876,12,44,12,7,0.7467,0.6316,0.7857,0.5581,0.8271,16,41,15,3,0.76,0.8421,0.7321,0.64,0.8083,13,39,17,6,0.6933,0.6842,0.6964,0.5306,0.7848
189,11,36,20,7,0.6351,0.6111,0.6429,0.449,0.7173,9,34,22,9,0.5811,0.5,0.6071,0.3673,0.6815,13,37,19,5,0.6757,0.7222,0.6607,0.52,0.7857,13,36,20,5,0.6622,0.7222,0.6429,0.5098,0.752,17,40,16,1,0.7703,0.9444,0.7143,0.6667,0.8532,14,35,21,4,0.6622,0.7778,0.625,0.5283,0.747,12,45,13,5,0.76,0.7059,0.7759,0.5714,0.8134,12,51,7,5,0.84,0.7059,0.8793,0.6667,0.8387,14,52,6,3,0.88,0.8235,0.8966,0.7568,0.8915,11,46,12,6,0.76,0.6471,0.7931,0.55,0.8621,13,51,7,4,0.8533,0.7647,0.8793,0.7027,0.8935,12,44,14,5,0.7467,0.7059,0.7586,0.5581,0.8266
190,21,31,16,6,0.7027,0.7778,0.6596,0.6562,0.7581,19,33,14,8,0.7027,0.7037,0.7021,0.6333,0.7959,20,29,18,7,0.6622,0.7407,0.617,0.6154,0.8006,19,30,17,8,0.6622,0.7037,0.6383,0.6032,0.7715,22,31,16,5,0.7162,0.8148,0.6596,0.6769,0.8282,23,30,17,4,0.7162,0.8519,0.6383,0.6866,0.7486,15,45,10,5,0.8,0.75,0.8182,0.6667,0.8845,16,47,8,4,0.84,0.8,0.8545,0.7273,0.8791,17,50,5,3,0.8933,0.85,0.9091,0.8095,0.9236,15,47,8,5,0.8267,0.75,0.8545,0.6977,0.9136,17,46,9,3,0.84,0.85,0.8364,0.7391,0.9227,15,45,10,5,0.8,0.75,0.8182,0.6667,0.8873
191,16,32,14,12,0.6486,0.5714,0.6957,0.5517,0.7609,16,32,14,12,0.6486,0.5714,0.6957,0.5517,0.7484,19,33,13,9,0.7027,0.6786,0.7174,0.6333,0.7787,20,34,12,8,0.7297,0.7143,0.7391,0.6667,0.7593,23,36,10,5,0.7973,0.8214,0.7826,0.7541,0.847,21,32,14,7,0.7162,0.75,0.6957,0.6667,0.7799,9,42,19,5,0.68,0.6429,0.6885,0.4286,0.7482,9,48,13,5,0.76,0.6429,0.7869,0.5,0.7658,9,50,11,5,0.7867,0.6429,0.8197,0.5294,0.7986,9,46,15,5,0.7333,0.6429,0.7541,0.4737,0.7705,10,47,14,4,0.76,0.7143,0.7705,0.5263,0.7974,8,42,19,6,0.6667,0.5714,0.6885,0.3902,0.7359
192,24,23,18,9,0.6351,0.7273,0.561,0.64,0.7849,25,26,15,8,0.6892,0.7576,0.6341,0.6849,0.7642,27,27,14,6,0.7297,0.8182,0.6585,0.7297,0.8108,25,28,13,8,0.7162,0.7576,0.6829,0.7042,0.7997,28,30,11,5,0.7838,0.8485,0.7317,0.7778,0.847,29,25,16,4,0.7297,0.8788,0.6098,0.7436,0.8075,15,42,11,7,0.76,0.6818,0.7925,0.625,0.8388,15,43,10,7,0.7733,0.6818,0.8113,0.6383,0.8096,16,46,7,6,0.8267,0.7273,0.8679,0.7111,0.8525,14,44,9,8,0.7733,0.6364,0.8302,0.6222,0.8576,17,44,9,5,0.8133,0.7727,0.8302,0.7083,0.8431,15,41,12,7,0.7467,0.6818,0.7736,0.6122,0.8392
193,17,26,23,8,0.5811,0.68,0.5306,0.5231,0.6743,13,28,21,12,0.5541,0.52,0.5714,0.4407,0.6122,16,26,23,9,0.5676,0.64,0.5306,0.5,0.6743,16,28,21,9,0.5946,0.64,0.5714,0.5161,0.689,19,34,15,6,0.7162,0.76,0.6939,0.6441,0.8131,20,27,22,5,0.6351,0.8,0.551,0.597,0.6457,9,45,13,8,0.72,0.5294,0.7759,0.4615,0.6775,9,50,8,8,0.7867,0.5294,0.8621,0.5294,0.6907,9,51,7,8,0.8,0.5294,0.8793,0.5455,0.7485,8,49,9,9,0.76,0.4706,0.8448,0.4706,0.7089,11,50,8,6,0.8133,0.6471,0.8621,0.6111,0.753,7,49,9,10,0.7467,0.4118,0.8448,0.4242,0.7013
194,16,32,16,10,0.6486,0.6154,0.6667,0.5517,0.766,19,36,12,7,0.7432,0.7308,0.75,0.6667,0.7869,20,33,15,6,0.7162,0.7692,0.6875,0.6557,0.8149,20,32,16,6,0.7027,0.7692,0.6667,0.6452,0.7933,24,34,14,2,0.7838,0.9231,0.7083,0.75,0.899,20,31,17,6,0.6892,0.7692,0.6458,0.6349,0.7825,8,47,13,7,0.7333,0.5333,0.7833,0.4444,0.7822,9,52,8,6,0.8133,0.6,0.8667,0.5625,0.8122,10,56,4,5,0.88,0.6667,0.9333,0.6897,0.8844,8,53,7,7,0.8133,0.5333,0.8833,0.5333,0.8333,12,55,5,3,0.8933,0.8,0.9167,0.75,0.8644,9,47,13,6,0.7467,0.6,0.7833,0.4865,0.81
195,15,29,17,13,0.5946,0.5357,0.6304,0.5,0.7158,16,34,12,12,0.6757,0.5714,0.7391,0.5714,0.736,19,31,15,9,0.6757,0.6786,0.6739,0.6129,0.7391,20,32,14,8,0.7027,0.7143,0.6957,0.6452,0.7554,24,34,12,4,0.7838,0.8571,0.7391,0.75,0.8634,20,29,17,8,0.6622,0.7143,0.6304,0.6154,0.7349,12,36,21,6,0.64,0.6667,0.6316,0.4706,0.7407,11,43,14,7,0.72,0.6111,0.7544,0.5116,0.729,13,45,12,5,0.7733,0.7222,0.7895,0.6047,0.7885,10,41,16,8,0.68,0.5556,0.7193,0.4545,0.7671,13,42,15,5,0.7333,0.7222,0.7368,0.5652,0.7739,12,36,21,6,0.64,0.6667,0.6316,0.4706,0.7388
196,22,25,16,11,0.6351,0.6667,0.6098,0.6197,0.7664,23,28,13,10,0.6892,0.697,0.6829,0.6667,0.7953,26,28,13,7,0.7297,0.7879,0.6829,0.7222,0.8027,26,28,13,7,0.7297,0.7879,0.6829,0.7222,0.7724,28,30,11,5,0.7838,0.8485,0.7317,0.7778,0.9061,26,26,15,7,0.7027,0.7879,0.6341,0.7027,0.7384,18,42,8,7,0.8,0.72,0.84,0.7059,0.8824,20,42,8,5,0.8267,0.8,0.84,0.7547,0.8584,20,44,6,5,0.8533,0.8,0.88,0.7843,0.8968,19,43,7,6,0.8267,0.76,0.86,0.7451,0.9016,21,43,7,4,0.8533,0.84,0.86,0.7925,0.892,16,42,8,9,0.7733,0.64,0.84,0.6531,0.8864
