Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
Sensitivity_Class0,Dataset_2,Right,ResNet+AE,SqueezeNet,0.889,0.8536,2.912098489113945e-242,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Right,ResNet+AE,SVM,0.889,0.7789,0.0,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Right,ResNet,SqueezeNet,0.8163,0.8536,6.259961045626448e-126,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Right,ResNet,SVM,0.8163,0.7789,3.753925659366899e-158,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Right,SqueezeNet,SVM,0.8536,0.7789,4.001822191059817e-298,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Left,MLP,MobileNet,0.611,0.6135,0.33546105501842716,No
Sensitivity_Class1,Dataset_2,Left,MLP,ResNet+AE,0.611,0.6911,7.297114154226949e-157,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Left,MLP,ResNet,0.611,0.6909,1.0193901067068688e-163,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Left,MLP,SqueezeNet,0.611,0.8089,0.0,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Left,MLP,SVM,0.611,0.7718,0.0,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Left,MobileNet,ResNet+AE,0.6135,0.6911,1.7687531495385833e-239,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Left,MobileNet,ResNet,0.6135,0.6909,8.229583876658466e-149,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Left,MobileNet,SqueezeNet,0.6135,0.8089,0.0,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Left,MobileNet,SVM,0.6135,0.7718,0.0,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Left,ResNet+AE,ResNet,0.6911,0.6909,0.9028115949437243,No
Sensitivity_Class1,Dataset_2,Left,ResNet+AE,SqueezeNet,0.6911,0.8089,0.0,Yes (p<0.01)
Sensitivity_Class1,Dataset_2,Left,ResNet+AE,SVM,0.6911,0.7718,9.472893209833668e-264,Yes (p<0.01)
