Dataset,Side,Model,round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
Dataset_1,Right,PointNet,567,11,54,3,7,0.8667,0.6111,0.9474,0.6875,0.9201
Dataset_1,Right,PointNet,568,17,50,1,7,0.8933,0.7083,0.9804,0.8095,0.9559
Dataset_1,Right,PointNet,569,5,57,5,8,0.8267,0.3846,0.9194,0.4348,0.7345
Dataset_1,Right,PointNet,570,9,56,2,8,0.8667,0.5294,0.9655,0.6429,0.7982
Dataset_1,Right,PointNet,571,13,54,2,6,0.8933,0.6842,0.9643,0.7647,0.8853
Dataset_1,Right,PointNet,572,13,51,1,10,0.8533,0.5652,0.9808,0.7027,0.8645
Dataset_1,Right,PointNet,573,4,61,0,10,0.8667,0.2857,1.0,0.4444,0.7845
Dataset_1,Right,PointNet,574,10,51,3,11,0.8133,0.4762,0.9444,0.5882,0.8801
Dataset_1,Right,PointNet,575,10,53,3,9,0.84,0.5263,0.9464,0.625,0.8722
Dataset_1,Right,PointNet,576,18,48,1,8,0.88,0.6923,0.9796,0.8,0.8995
Dataset_1,Right,PointNet,577,9,49,7,10,0.7733,0.4737,0.875,0.5143,0.7914
Dataset_1,Right,PointNet,578,12,52,4,7,0.8533,0.6316,0.9286,0.6857,0.8891
Dataset_1,Right,PointNet,579,12,47,3,13,0.7867,0.48,0.94,0.6,0.8704
Dataset_1,Right,PointNet,580,12,56,3,4,0.9067,0.75,0.9492,0.7742,0.9047
Dataset_1,Right,PointNet,581,2,63,0,10,0.8667,0.1667,1.0,0.2857,0.8228
Dataset_1,Right,PointNet,582,13,53,2,7,0.88,0.65,0.9636,0.7429,0.84
Dataset_1,Right,PointNet,583,15,49,3,8,0.8533,0.6522,0.9423,0.7317,0.8219
Dataset_1,Right,PointNet,584,12,44,1,18,0.7467,0.4,0.9778,0.5581,0.7096
Dataset_1,Right,PointNet,585,11,57,1,6,0.9067,0.6471,0.9828,0.7586,0.929
Dataset_1,Right,PointNet,586,9,54,3,9,0.84,0.5,0.9474,0.6,0.847
Dataset_1,Right,PointNet,587,13,49,3,10,0.8267,0.5652,0.9423,0.6667,0.8495
Dataset_1,Right,PointNet,588,12,57,2,4,0.92,0.75,0.9661,0.8,0.9216
Dataset_1,Right,PointNet,589,10,53,3,9,0.84,0.5263,0.9464,0.625,0.7068
Dataset_1,Right,PointNet,590,11,48,0,16,0.7867,0.4074,1.0,0.5789,0.8665
Dataset_1,Right,PointNet,591,15,46,2,12,0.8133,0.5556,0.9583,0.6818,0.8488
Dataset_1,Right,PointNet,592,11,49,2,13,0.8,0.4583,0.9608,0.5946,0.884
Dataset_1,Right,PointNet,593,10,55,0,10,0.8667,0.5,1.0,0.6667,0.8109
Dataset_1,Right,PointNet,594,10,55,6,4,0.8667,0.7143,0.9016,0.6667,0.8782
Dataset_1,Right,PointNet,595,17,46,3,9,0.84,0.6538,0.9388,0.7391,0.8713
Dataset_1,Right,PointNet,596,14,51,3,7,0.8667,0.6667,0.9444,0.7368,0.8457
Dataset_1,Right,PointNet,597,8,59,1,7,0.8933,0.5333,0.9833,0.6667,0.8256
Dataset_1,Right,PointNet,598,11,56,1,7,0.8933,0.6111,0.9825,0.7333,0.9366
Dataset_1,Right,PointNet,599,10,54,3,8,0.8533,0.5556,0.9474,0.6452,0.7914
Dataset_1,Right,PointNet,600,10,54,1,10,0.8533,0.5,0.9818,0.6452,0.7155
Dataset_1,Right,PointNet,601,17,47,2,9,0.8533,0.6538,0.9592,0.7556,0.8854
Dataset_1,Right,PointNet,602,17,47,2,9,0.8533,0.6538,0.9592,0.7556,0.8297
Dataset_1,Right,PointNet,603,8,55,0,12,0.84,0.4,1.0,0.5714,0.7664
Dataset_1,Right,PointNet,604,15,47,2,11,0.8267,0.5769,0.9592,0.6977,0.8391
Dataset_1,Right,PointNet,605,13,56,1,5,0.92,0.7222,0.9825,0.8125,0.8577
Dataset_1,Right,PointNet,606,12,49,1,13,0.8133,0.48,0.98,0.6316,0.8136
Dataset_1,Right,PointNet,607,11,51,3,10,0.8267,0.5238,0.9444,0.6286,0.7646
Dataset_1,Right,PointNet,608,7,64,2,2,0.9467,0.7778,0.9697,0.7778,0.9781
Dataset_1,Right,PointNet,609,6,60,2,7,0.88,0.4615,0.9677,0.5714,0.8176
Dataset_1,Right,PointNet,610,8,57,3,7,0.8667,0.5333,0.95,0.6154,0.8456
Dataset_1,Right,PointNet,611,12,49,4,10,0.8133,0.5455,0.9245,0.6316,0.8216
Dataset_1,Right,PointNet,612,13,52,0,10,0.8667,0.5652,1.0,0.7222,0.954
Dataset_1,Right,PointNet,613,11,48,1,15,0.7867,0.4231,0.9796,0.5789,0.7221
Dataset_1,Right,PointNet,614,14,53,2,6,0.8933,0.7,0.9636,0.7778,0.9009
Dataset_1,Right,PointNet,615,11,47,3,14,0.7733,0.44,0.94,0.5641,0.8352
Dataset_1,Right,PointNet,616,10,58,2,5,0.9067,0.6667,0.9667,0.7407,0.8689
Dataset_1,Right,PointNet,617,13,59,1,2,0.96,0.8667,0.9833,0.8966,0.9711
Dataset_1,Right,PointNet,618,10,52,1,12,0.8267,0.4545,0.9811,0.6061,0.8551
Dataset_1,Right,PointNet,619,11,55,1,8,0.88,0.5789,0.9821,0.7097,0.7585
Dataset_1,Right,PointNet,620,15,52,1,7,0.8933,0.6818,0.9811,0.7895,0.9185
Dataset_1,Right,PointNet,621,16,50,0,9,0.88,0.64,1.0,0.7805,0.8336
Dataset_1,Right,PointNet,622,16,50,2,7,0.88,0.6957,0.9615,0.7805,0.954
Dataset_1,Right,PointNet,623,10,52,2,11,0.8267,0.4762,0.963,0.6061,0.9198
Dataset_1,Right,PointNet,624,10,52,3,10,0.8267,0.5,0.9455,0.6061,0.7827
Dataset_1,Right,PointNet,625,11,54,1,9,0.8667,0.55,0.9818,0.6875,0.8318
Dataset_1,Right,PointNet,626,12,52,3,8,0.8533,0.6,0.9455,0.6857,0.8191
Dataset_1,Right,PointNet,627,7,57,1,10,0.8533,0.4118,0.9828,0.56,0.9199
Dataset_1,Right,PointNet,628,13,52,0,10,0.8667,0.5652,1.0,0.7222,0.9206
Dataset_1,Right,PointNet,629,6,56,3,10,0.8267,0.375,0.9492,0.48,0.7436
Dataset_1,Right,PointNet,630,11,52,0,12,0.84,0.4783,1.0,0.6471,0.8871
Dataset_1,Right,PointNet,631,9,54,1,11,0.84,0.45,0.9818,0.6,0.9045
Dataset_1,Right,PointNet,632,9,52,1,13,0.8133,0.4091,0.9811,0.5625,0.8259
Dataset_1,Right,PointNet,633,10,56,3,6,0.88,0.625,0.9492,0.6897,0.8623
Dataset_1,Right,PointNet,634,12,49,3,11,0.8133,0.5217,0.9423,0.6316,0.7433
Dataset_1,Right,PointNet,635,16,47,1,11,0.84,0.5926,0.9792,0.7273,0.8449
Dataset_1,Right,PointNet,636,13,53,2,7,0.88,0.65,0.9636,0.7429,0.8755
Dataset_1,Right,PointNet,637,10,54,0,11,0.8533,0.4762,1.0,0.6452,0.8642
Dataset_1,Right,PointNet,638,15,49,2,9,0.8533,0.625,0.9608,0.7317,0.9003
Dataset_1,Right,PointNet,639,8,54,1,12,0.8267,0.4,0.9818,0.5517,0.7364
Dataset_1,Right,PointNet,640,13,47,3,12,0.8,0.52,0.94,0.6341,0.8328
Dataset_1,Right,PointNet,641,15,53,3,4,0.9067,0.7895,0.9464,0.8108,0.8806
Dataset_1,Right,PointNet,642,9,54,1,11,0.84,0.45,0.9818,0.6,0.8982
Dataset_1,Right,PointNet,643,7,61,2,5,0.9067,0.5833,0.9683,0.6667,0.869
Dataset_1,Right,PointNet,644,15,49,4,7,0.8533,0.6818,0.9245,0.7317,0.8345
Dataset_1,Right,PointNet,645,8,59,0,8,0.8933,0.5,1.0,0.6667,0.8528
Dataset_1,Right,PointNet,646,7,56,3,9,0.84,0.4375,0.9492,0.5385,0.7934
Dataset_1,Right,PointNet,647,10,51,2,12,0.8133,0.4545,0.9623,0.5882,0.8353
Dataset_1,Right,PointNet,648,9,45,4,17,0.72,0.3462,0.9184,0.4615,0.7818
Dataset_1,Right,PointNet,649,14,50,2,9,0.8533,0.6087,0.9615,0.7179,0.8403
Dataset_1,Right,PointNet,650,11,54,1,9,0.8667,0.55,0.9818,0.6875,0.9318
Dataset_1,Right,PointNet,651,11,56,1,7,0.8933,0.6111,0.9825,0.7333,0.8626
Dataset_1,Right,PointNet,652,11,54,1,9,0.8667,0.55,0.9818,0.6875,0.8418
Dataset_1,Right,PointNet,653,14,52,2,7,0.88,0.6667,0.963,0.7568,0.9074
Dataset_1,Right,PointNet,654,7,56,2,10,0.84,0.4118,0.9655,0.5385,0.8732
Dataset_1,Right,PointNet,655,10,54,1,10,0.8533,0.5,0.9818,0.6452,0.7973
Dataset_1,Right,PointNet,656,8,56,3,8,0.8533,0.5,0.9492,0.5926,0.7108
Dataset_1,Right,PointNet,657,5,58,3,9,0.84,0.3571,0.9508,0.4545,0.7857
Dataset_1,Right,PointNet,658,8,57,1,9,0.8667,0.4706,0.9828,0.6154,0.9158
Dataset_1,Right,PointNet,659,11,53,3,8,0.8533,0.5789,0.9464,0.6667,0.8534
Dataset_1,Right,PointNet,660,13,56,1,5,0.92,0.7222,0.9825,0.8125,0.8148
Dataset_1,Right,PointNet,661,5,52,5,13,0.76,0.2778,0.9123,0.3571,0.7934
Dataset_1,Right,PointNet,662,12,57,2,4,0.92,0.75,0.9661,0.8,0.8549
Dataset_1,Right,PointNet,663,15,45,4,11,0.8,0.5769,0.9184,0.6667,0.7567
Dataset_1,Right,PointNet,664,9,56,3,7,0.8667,0.5625,0.9492,0.6429,0.7956
Dataset_1,Right,PointNet,665,15,54,1,5,0.92,0.75,0.9818,0.8333,0.9227
Dataset_1,Right,PointNet,666,13,48,7,7,0.8133,0.65,0.8727,0.65,0.8409
Dataset_1,Right,PointNet,667,11,54,2,8,0.8667,0.5789,0.9643,0.6875,0.8336
Dataset_1,Right,PointNet,668,10,50,8,7,0.8,0.5882,0.8621,0.5714,0.8834
Dataset_1,Right,PointNet,669,14,52,2,7,0.88,0.6667,0.963,0.7568,0.8272
Dataset_1,Right,PointNet,670,9,58,2,6,0.8933,0.6,0.9667,0.6923,0.8589
Dataset_1,Right,PointNet,671,6,56,7,6,0.8267,0.5,0.8889,0.48,0.7672
Dataset_1,Right,PointNet,672,16,55,0,4,0.9467,0.8,1.0,0.8889,0.9427
Dataset_1,Right,PointNet,673,16,50,0,9,0.88,0.64,1.0,0.7805,0.8352
Dataset_1,Right,PointNet,674,13,52,5,5,0.8667,0.7222,0.9123,0.7222,0.8441
Dataset_1,Right,PointNet,675,14,49,2,10,0.84,0.5833,0.9608,0.7,0.8799
Dataset_1,Right,PointNet,676,14,45,4,12,0.7867,0.5385,0.9184,0.6364,0.7418
Dataset_1,Right,PointNet,677,3,58,3,11,0.8133,0.2143,0.9508,0.3,0.7084
Dataset_1,Right,PointNet,678,9,50,2,14,0.7867,0.3913,0.9615,0.5294,0.8077
Dataset_1,Right,PointNet,679,12,53,2,8,0.8667,0.6,0.9636,0.7059,0.82
Dataset_1,Right,PointNet,680,14,50,0,11,0.8533,0.56,1.0,0.7179,0.9096
Dataset_1,Right,PointNet,681,6,55,7,7,0.8133,0.4615,0.8871,0.4615,0.7705
Dataset_1,Right,PointNet,682,17,50,1,7,0.8933,0.7083,0.9804,0.8095,0.9085
Dataset_1,Right,PointNet,683,13,52,0,10,0.8667,0.5652,1.0,0.7222,0.8478
Dataset_1,Right,PointNet,684,10,55,3,7,0.8667,0.5882,0.9483,0.6667,0.8499
Dataset_1,Right,PointNet,685,10,57,4,4,0.8933,0.7143,0.9344,0.7143,0.8501
